"PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","",""
"Animal Behavior","449
001","94","2.839","16.0","11.7","31.9","9.6","26.6","3.2",".","1.1",".",".",".",".",".",".",".","."
"Behavioral Neuroscience","454
001","51","3.100","19.6","21.6","31.4","9.8","15.7",".",".","2.0",".",".",".",".",".",".",".","."
"","455
001","11","2.818","18.2",".","36.4","18.2","27.3",".",".",".",".",".",".",".",".",".",".","."
"","002
455","6","3.083","33.3","50.0",".",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"","455
003","10","3.050","10.0","20.0","50.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","004
455","11","3.227","18.2","27.3","36.4","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"","455
005","12","2.875","16.7","16.7","25.0","8.3","33.3",".",".",".",".",".",".",".",".",".",".","."
"Lab in Behavioral Neurosci","Course Total","50","3.000","18.0","20.0","32.0","12.0","16.0",".","2.0",".",".",".",".",".",".",".",".","."
"Honors-Behavioral Neurosci","001
484","13","3.846","76.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","485
001","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","485
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors Lab-Behavrl Neurosci","Course Total","13","3.885","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Psychology of Personality","507
001","373","3.186","31.4","21.7","18.0","16.1","8.6","2.4","0.8","0.8",".",".",".",".",".",".",".","0.3"
"Abnormal Psychology","509
001","194","3.593","47.4","28.4","15.5","4.1","1.0","0.5",".","2.6",".",".",".",".",".",".","0.5","."
"","517
001","26","3.808","69.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
517","24","3.604","33.3","54.2","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Clinical Psych","Course Total","50","3.710","52.0","38.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Psychology of Women","522
001","27","3.333","25.9","29.6","37.0",".","7.4",".",".",".",".",".",".",".",".",".",".","."
"Neurobiology","523
001","13","3.708","61.5","7.7","23.1",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"","530
001","26","2.981","19.2","23.1","26.9","11.5","15.4",".","3.8",".",".",".",".",".",".",".",".","."
"","530
002","113","2.893","18.6","17.7","23.0","17.7","16.8","3.5","1.8",".",".",".",".",".",".",".",".","0.9"
"Intro-Social Psychology","Course Total","139","2.914","18.7","18.7","23.7","16.5","16.5","2.9","2.2",".",".",".",".",".",".",".",".","0.7"
"Child Psychology","560
001","145","3.152","30.3","20.7","19.3","12.4","15.9","0.7","0.7",".",".",".",".",".",".",".",".","."
"Honors Seminar in Child Psych","580
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Anal-Psych Experiments","001
610","21","3.976","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","618
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","618
002","33","3.985","97.0","3.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","618
003","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","618
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","618
006","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","618
007","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","618
009","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research Topics","Course Total","79","3.994","98.7","1.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biology of Mind","619
001","36","3.235","36.1","13.9","33.3","2.8","2.8",".","5.6","2.8",".",".",".",".",".","2.8",".","."
"","681
014","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
017","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
023","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
024","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
034","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
040","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
060","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 278 of 391",""
