"Summary by Level","# 
Ave","A","AB","","B","","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades
GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"MED SC-M","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","2",".","",".","",".",".","",".","",".","",".",".","",".","100.0","",".","",".","",".",".",".","."
"Senior","1",".","",".","",".",".","",".","",".","",".",".","",".","100.0","",".","",".","",".",".",".","."
"Undergraduates","3",".","",".","",".",".","",".","",".","",".",".","",".","100.0","",".","",".","",".",".",".","."
"Graduate","8
3.737","25.0","","25.0","",".",".","",".","",".","",".",".","",".","37.5","",".","",".","",".",".","12.5","."
"Prof Yr 1","307
3.846","73.3","","13.7","","5.9","1.0","",".","",".","",".","0.3","",".","5.5","",".","",".","","0.3",".",".","."
"Prof Yr 2","1400
3.655","47.7","","24.9","13.9","","2.9","","0.6","",".","",".","9.8","",".","0.1","",".","",".","","0.1",".",".","."
"Prof Yr 3","3",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","1",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Professionals","1711
3.716","52.2","","22.8","","12.4","2.6","","0.5","",".","",".","8.3","",".","1.1","",".","",".","","0.2",".",".","."
