"OBSTETRICS AND GYNECOLOG Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"436
OBS&GYN","","","","","","","","","","","","","","","","","","","",""
"699
Directed Study","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"812","061","","19","3.486","31.6","42.1","15.8",".","5.3",".",".",".",".",".",".",".",".",".","5.3","."
"812","062","","18","3.444","11.1","66.7","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","063","","17","3.382","17.6","52.9","17.6","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"812","064","","19","3.605","36.8","47.4","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"3rd Year Obs & Gynecology","Course Total","","73","3.483","24.7","52.1","17.8","2.7","1.4",".",".",".",".",".",".",".",".",".","1.4","."
"919","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","4","***","","","","","","","","","","","","","","","",""
"921","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Gynecol Oncology Clerk-CSC","Course Total","","5","***","","","","","","","","","","","","","","","",""
"922
Inpt-Outpt Clerk-Marshfield","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"925","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"925","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"925","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"High Risk Obst Clrk-Meriter","Course Total","","3","***","","","","","","","","","","","","","","","",""
"927","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"927","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"ObGyn Inpatnt Clrk-LaCrosse","Course Total","","2","***","","","","","","","","","","","","","","","",""
"990","031","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","052","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
