"NUTRITIONAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"694
NUTR SCI","","","","","","","","","","","","","","","","","","","",""
"132","001","","230","2.717","14.3","13.0","21.7","15.2","29.6","3.9","1.3","0.4",".",".",".",".",".","0.4",".","."
"132","002","","311","2.582","10.9","12.5","19.6","14.8","34.1","5.8","1.9","0.3",".",".",".",".",".",".",".","."
"132","003","","37","2.657","10.8","18.9","16.2","2.7","40.5","5.4",".","5.4",".",".",".",".",".",".",".","."
"Nutrition Today","Course Total","","578","2.640","12.3","13.1","20.2","14.2","32.7","5.0","1.6","0.7",".",".",".",".",".","0.2",".","."
"200
Prof-Dietetics & Nutrition","001","","57","",".",".",".",".",".",".",".",".",".","93.0","3.5",".",".",".","3.5","."
"311
Comparative Animal Nutritn","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"332
Human Nutritional Needs","001","","72","3.069","22.2","18.1","27.8","15.3","16.7",".",".",".",".",".",".",".",".",".",".","."
"399
Coord Intrnshp/Cooprtv Educ","046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"499
Capstone in Nutrition","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"510
Biochm Prin-Human&Anml Nutr","001","","52","3.019","17.3","25.0","30.8","13.5","7.7","3.8","1.9",".",".",".",".",".",".",".",".","."
"521
Pub Hlth Exper-Nutr & Food Sys","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"600
Intro Seminar in Nutrition","001","","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"621
Intro-Nutritnl Epidemiology","001","","21","3.690","57.1","23.8","19.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"631
Clinical Nutrition","001","","43","2.988","23.3","25.6","20.9","14.0","7.0","4.7","4.7",".",".",".",".",".",".",".",".","."
"634
Clinical Nutri(Affiliation)","001","","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"681
Senior Honors Thesis","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691
Senior Thesis-Nutrition","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","4","***","","","","","","","","","","","","","","","",""
"799","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract-Nutri Sciences Tchg","Course Total","","3","***","","","","","","","","","","","","","","","",""
"875","001","","13","3.423","23.1","46.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"875","002","","9","3.444","22.2","44.4","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","22","3.432","22.7","45.5","27.3","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"931
Seminar-Nutrition","001","","23","4.000","8.7",".",".",".",".",".",".","91.3",".",".",".",".",".",".",".","."
"991","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"991","008","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"991","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"991","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","059","","2","***","","","","","","","","","",".",".",".",".",".",".","."
