"Seminar","001
900","13","4.000","92.3",".",".",".",".",".","",".","","7.7",".","",".",".","",".",".","",".",".","."
"","990
027","1","***","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
047","1","***","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"Research and Thesis","Course Total","2","***","","","","","","","","","","","","","","","","","","","","",""
"G L E
418","Dept. Total","133","3.374","28.6","31.6","11.3","2.3","4.5","",".","","0.8","18.0","","0.8",".","",".","2.3","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"418
G L E","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","6","3.000","16.7",".","66.7",".","16.7","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","10","3.350","30.0","10.0","60.0",".",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","4","3.417","25.0","25.0","50.0",".",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","51","3.335","25.5","39.2","15.7","15.7","3.9","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","71","3.326","25.4","31.0","28.2","11.3","4.2","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Special","","1","3.000",".",".","100.0",".",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","","37","3.440","18.9","16.2","16.2",".",".","",".","",".","40.5","",".",".","",".","8.1","",".",".",".","."
"","Dept. Total","109","3.351","22.9","25.7","24.8","7.3","2.8","",".","",".","13.8","",".",".","",".","2.8","",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","","","","","Page 125 of 391",""
