"GERMAN","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"424
GERMAN","","","","","","","","","","","","","","","","","","",""
"","101
001","20","3.816","70.0","15.0","10.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"","101
002","18","3.556","61.1","11.1","16.7",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","101
003","20","3.525","60.0","15.0","20.0",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"","101
004","23","3.295","43.5","21.7","8.7","8.7","8.7",".","4.3","4.3",".",".",".",".",".",".",".","."
"","101
005","20","3.275","25.0","20.0","40.0","15.0",".",".",".",".",".",".",".",".",".",".",".","."
"","101
006","21","3.375","38.1","4.8","47.6",".","4.8",".",".",".",".",".",".",".",".","4.8",".","."
"","101
007","11","3.591","63.6","9.1","18.2",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"First Semester German","Course Total","133","3.477","50.4","14.3","23.3","3.8","4.5",".","1.5","1.5",".",".",".",".",".","0.8",".","."
"","002
102","17","3.441","52.9","11.8","17.6","5.9","11.8",".",".",".",".",".",".",".",".",".",".","."
"","102
003","23","3.545","56.5","4.3","26.1","4.3","4.3",".",".",".",".",".",".",".",".","4.3",".","."
"","102
004","22","3.361","22.7","22.7","27.3","9.1",".",".",".","9.1",".",".",".",".",".",".",".","9.1"
"","102
005","22","2.955","22.7","18.2","40.9",".","9.1",".","9.1",".",".",".",".",".",".",".",".","."
"Second Semester German","Course Total","84","3.316","38.1","14.3","28.6","4.8","6.0",".","2.4","2.4",".",".",".",".",".","1.2",".","2.4"
"","111
001","8","3.250","62.5",".","25.0",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"","003
111","16","3.563","56.3","12.5","25.0",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"First Semester Dutch","Course Total","24","3.458","58.3","8.3","25.0",".","4.2",".","4.2",".",".",".",".",".",".",".",".","."
"","001
203","18","3.382","33.3","27.8","16.7","11.1","5.6",".",".","5.6",".",".",".",".",".",".",".","."
"","002
203","24","3.458","33.3","33.3","29.2",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"","203
003","24","3.896","87.5","8.3",".","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","004
203","19","3.263","31.6","15.8","42.1","5.3",".","5.3",".",".",".",".",".",".",".",".",".","."
"","005
203","17","3.059","41.2","23.5","11.8",".","5.9","11.8","5.9",".",".",".",".",".",".",".",".","."
"","006
203","19","3.842","78.9","10.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
203","22","3.500","68.2",".","18.2",".","9.1","4.5",".",".",".",".",".",".",".",".",".","."
"Third Semester German","Course Total","143","3.507","54.5","16.8","18.2","2.8","3.5","2.8","0.7","0.7",".",".",".",".",".",".",".","."
"","204
001","21","3.357","23.8","28.6","42.9","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","002
204","18","3.444","33.3","22.2","44.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
003","20","3.600","50.0","20.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
004","21","3.738","66.7","14.3","19.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
005","24","3.708","66.7","20.8","4.2","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"","204
006","22","3.024","13.6","13.6","54.5","9.1",".",".","4.5",".",".",".",".",".",".",".",".","4.5"
"Fourth Semester German","Course Total","126","3.484","42.9","19.8","31.7","3.2","0.8",".","0.8",".",".",".",".",".",".",".",".","0.8"
"Third Semester Dutch","213
001","10","3.500","50.0","10.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","221
001","19","3.684","52.6","31.6","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","221
002","17","3.588","29.4","58.8","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-German Lit & Culture I","Course Total","36","3.639","41.7","44.4","13.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-German Lit & Culture II","222
001","18","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","225
001","13","3.577","38.5","38.5","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","225
002","18","3.719","55.6","16.7","16.7",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"","004
225","19","2.947","21.1","21.1","31.6","10.5","5.3","5.3","5.3",".",".",".",".",".",".",".",".","."
"","005
225","17","3.941","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","225
006","15","3.833","80.0","6.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","225
007","15","3.433","40.0","46.7","6.7",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"Composition & Conversatn I","Course Total","97","3.558","53.6","22.7","15.5","2.1","1.0","1.0","2.1","2.1",".",".",".",".",".",".",".","."
"","226
001","13","3.585","53.8","7.7","38.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
002","10","3.719","60.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".",".","10.0","."
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 218 of 391",""
