"HUMAN DEVEL & FAMILY STUDI Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"230
HDFS","","","","","","","","","","","","","","","","","","","",""
"Independent Study","299","005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Development of Young Child","362","001","232","3.108","29.3","21.6","23.3","11.2","8.2","3.9","2.6",".",".",".",".",".",".",".",".","."
"","363","001","58","2.966","13.8","22.4","24.1","29.3","8.6",".","1.7",".",".",".",".",".",".",".",".","."
"","363","002","228","2.917","14.0","17.5","29.8","26.3","8.3","2.2","1.8",".",".",".",".",".",".",".",".","."
"Develp: Adolescence-Old Age","","Course Total","286","2.927","14.0","18.5","28.7","26.9","8.4","1.7","1.7",".",".",".",".",".",".",".",".","."
"Family&Com Influences-Child","469","001","29","3.534","31.0","48.3","17.2","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"Infants&Toddlers:Developmnt","470","001","19","3.737","68.4","21.1","5.3",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"Parent-Child Relations","471","001","30","3.800","76.7","13.3","6.7",".","3.3",".",".",".",".",".",".",".",".",".",".","."
"Ethnic Minority Families-US","474","001","52","3.702","59.6","30.8","5.8","1.9",".","1.9",".",".",".",".",".",".",".",".",".","."
"Special Topics","501","001","22","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Family Stress and Coping","516","001","37","3.581","59.5","24.3","8.1",".","5.4",".","2.7",".",".",".",".",".",".",".",".","."
"Couple Relationships","517","001","30","3.233","33.3","6.7","46.7",".","13.3",".",".",".",".",".",".",".",".",".",".","."
"The Afro-American Family","521","001","28","3.407","39.3","21.4","28.6",".","3.6","3.6",".",".",".",".",".",".",".",".","3.6","."
"Family Perspctv-Policymakng","535","001","23","3.696","52.2","34.8","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Early Child Ed Tchg Practcm","564","001","22","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Preschool Stdt Teacher Smr","565","001","22","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Sr Seminar-Chld&Fam Studies","566","001","22","3.705","40.9","59.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601","002","26","3.862","80.8","15.4",".",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"","601","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","601","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","601","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","601","019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","","Course Total","30","3.875","83.3","13.3",".",".","3.3",".",".",".",".",".",".",".",".",".",".","."
"Adv Study of Young Child","662","001","14","3.929","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prosmr: Child & Fam Studies","664","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","011","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","014","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","017","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory & Issues-Human Dev","725","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Childhood and the Family","761","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Iss-Family Living","766","001","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Family Theory I (Survey)","865","001","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bridging Gap: Rsch & Action","872","001","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","007","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","008","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","010","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","013","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","014","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","017","4","***","","","","","","","","","",".",".",".",".",".",".","."
