"L&S","","","","","","","","","","","","","","","","","","","","",""
"GEOGRAPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","","",""
"GEOG
416","Dept. Total","1795","3.064","27.6","18.2","23.5","10.9","11.6","2.8","1.2","2.3","",".","0.2","",".","1.1","0.2","0.4","0.1","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","265","2.865","12.8","26.0","26.0","10.9","17.0","4.9","1.5",".","",".",".","",".",".",".",".","0.8","."
"Sophomore","","415","2.976","17.3","29.4","19.3","18.1","9.4","4.1","1.7","0.5","",".","0.2","",".",".",".",".",".","."
"Junior","","331","2.977","18.7","20.2","24.2","17.5","16.3","1.5","0.6","0.3","",".","0.3","",".",".",".","0.3",".","."
"Senior","","409","3.050","28.1","14.9","23.0","14.2","9.5","2.9","1.5","5.1","",".","0.5","",".",".",".","0.2",".","."
"Undergraduates","","1420","2.973","19.9","22.5","22.7","15.5","12.5","3.3","1.3","1.7","",".","0.3","",".",".",".","0.1","0.1","."
"Special","","26","3.492","42.3","3.8","19.2","7.7","3.8",".",".","7.7","",".",".","",".",".","7.7",".","7.7","."
"Graduate","","215","3.765","48.8","16.3","7.0","0.5",".",".",".","12.6","",".","2.3","",".","9.8","2.3",".",".","."
"","Dept. Total","1661","3.050","24.0","21.4","20.7","13.4","10.7","2.8","1.1","3.2","",".","0.5","",".","1.3","0.4","0.1","0.2","."
