"MEDICAL PHYSICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"621
MED PHYS","","","","","","","","","","","","","","","","","","","",""
"463
Radioisotopes-Med & Biology","001","","15","3.500","33.3","33.3","13.3","13.3",".",".",".",".",".",".",".",".","6.7",".",".","."
"471","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"471","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Medical Physics","Course Total","","6","3.773","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"473
Imaging in Medicine","001","","14","3.321","14.3","35.7","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"501
Radiolgcal Physcs&Dosimetry","002","","15","3.400","20.0","40.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"567
Physics-Diagnostic Radiol","001","","17","3.500","47.1","17.6","23.5","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"571
Adv Extrnl Radiatn Onc Phys","001","","8","3.375","25.0","25.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"661
Rad Lab-Radiotherapy Physic","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"664
Rad Lab - Health Physics","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"665
Rad Lab:CT,NMR,&DSA Physics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"666
Rad Lab-Med Ultrasound Phys","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699
Ind Reading or Research","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"710
Adv in Med Magnet Resonance","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"812
Radiation Med Physics Clerkshp","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"900
Journal Club and Seminar","001","","21","3.952","90.5","9.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","049","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","056","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","059","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","42","",".",".",".",".",".",".",".","85.7",".",".",".","14.3",".",".",".","."
