"DANCE PROGRAM","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","","",""
"","1
001","","17","3.769","47.1","23.5","5.9",".",".",".",".","23.5",".",".",".",".",".",".",".","."
"","1
002","","15","3.821","66.7","20.0","6.7",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"","1
003","","22","3.481","31.8","18.2","36.4",".",".",".",".","13.6",".",".",".",".",".",".",".","."
"Workshop in Dance Activity","Course Total","","54","3.639","46.3","20.4","18.5",".",".",".",".","14.8",".",".",".",".",".",".",".","."
"Modern Dance I","001
11","","27","3.692","88.9",".",".",".",".",".","7.4","3.7",".",".",".",".",".",".",".","."
"Modern Dance Technique I","111
001","","18","3.444","44.4","22.2","11.1","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"","12
001","","17","3.882","88.2","5.9",".","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","12
002","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Dance II","Course Total","","26","3.923","92.3","3.8",".","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet Technique I","001
125","","15","3.667","53.3","26.7","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rhythmic Movement Lab I","144
001","","18","3.667","72.2","22.2",".",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"Movemnt as Matl Thru Improv","151
001","","24","3.438","45.8","16.7","16.7","20.8",".",".",".",".",".",".",".",".",".",".",".","."
"Asian American Movement","153
001","","17","3.967","82.4","5.9",".",".",".",".",".","11.8",".",".",".",".",".",".",".","."
"Intro-Movement Analysis","167
001","","24","3.708","50.0","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","21
001","","23","3.975","82.6","4.3",".",".",".",".",".","13.0",".",".",".",".",".",".",".","."
"","21
002","","21","3.553","23.8","57.1","4.8","4.8",".",".",".","9.5",".",".",".",".",".",".",".","."
"Ballet I","Course Total","","44","3.769","54.5","29.5","2.3","2.3",".",".",".","11.4",".",".",".",".",".",".",".","."
"Modern Dance Technique III","211
001","","18","3.706","44.4","44.4","5.6",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"","22
001","","19","3.750","63.2","15.8","15.8",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"","22
002","","24","3.652","50.0","33.3","8.3",".","4.2",".",".",".",".",".",".",".",".",".","4.2","."
"Ballet II","Course Total","","43","3.695","55.8","25.6","11.6",".","2.3",".",".","2.3",".",".",".",".",".",".","2.3","."
"Survey-Interarts & Technology","260
001","","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","31
001","","27","3.609","37.0","29.6","18.5",".",".",".",".","11.1",".",".",".",".",".","3.7",".","."
"","31
002","","16","3.545","37.5",".","31.3",".",".",".",".","12.5","6.3",".",".",".",".","12.5",".","."
"Modern Jazz Dance","Course Total","","43","3.588","37.2","18.6","23.3",".",".",".",".","11.6","2.3",".",".",".",".","7.0",".","."
"Modern Dance Technique V","311
001","","13","3.577","30.8","53.8","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet Technique III","325
001","","16","3.667","56.3","18.8","12.5","6.3",".",".",".","6.3",".",".",".",".",".",".",".","."
"Video Desgn-Perf&Visual Art","351
001","","15","3.167","53.3","6.7","26.7",".",".",".","13.3",".",".",".",".",".",".",".",".","."
"Javanese Performance","353
001","","20","3.902","90.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
014","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
055","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Project","Course Total","","16","3.920","93.8",".","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","41
001","","57","3.653","24.6","33.3","5.3",".",".",".",".","35.1",".",".",".",".",".",".","1.8","."
"","002
41","","26","3.833","69.2",".","7.7","3.8",".",".",".","19.2",".",".",".",".",".",".",".","."
"","41
003","","37","3.813","67.6","16.2",".",".",".","2.7",".","13.5",".",".",".",".",".",".",".","."
"","41
004","","41","3.689","36.6","51.2","2.4",".",".",".",".","9.8",".",".",".",".",".",".",".","."
"","41
005","","38","3.879","71.1","10.5","5.3",".",".",".",".","13.2",".",".",".",".",".",".",".","."
"","41
006","","38","3.700","44.7","39.5","7.9",".",".",".",".","5.3",".",".",".",".",".",".","2.6","."
"","007
41","","51","3.674","41.2","39.2","9.8",".",".",".",".","9.8",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","","Page 98 of 391"
