"ENGR MECHANICS & ASTRONA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","201
001","150","2.623","4.0","8.7","34.0","37.3","8.7","3.3","4.0",".",".",".",".",".",".",".",".","."
"","201
002","58","2.681","13.8","12.1","20.7","37.9","6.9",".","8.6",".",".",".",".",".",".",".",".","."
"Statics","Course Total","208","2.639","6.7","9.6","30.3","37.5","8.2","2.4","5.3",".",".",".",".",".",".",".",".","."
"","202
001","13","2.692","30.8",".","15.4","30.8","7.7","7.7","7.7",".",".",".",".",".",".",".",".","."
"","202
002","20","2.700","15.0","10.0","30.0","20.0","15.0","5.0","5.0",".",".",".",".",".",".",".",".","."
"","202
003","25","2.700","8.0","12.0","28.0","32.0","12.0","8.0",".",".",".",".",".",".",".",".",".","."
"","004
202","21","2.667","14.3","14.3","19.0","23.8","19.0","4.8","4.8",".",".",".",".",".",".",".",".","."
"","202
005","13","3.000","7.7","23.1","46.2","7.7","15.4",".",".",".",".",".",".",".",".",".",".","."
"Dynamics","Course Total","92","2.734","14.1","12.0","27.2","23.9","14.1","5.4","3.3",".",".",".",".",".",".",".",".","."
"Statics & Mech of Materials","214
001","21","3.048","19.0","28.6","28.6","9.5","9.5",".","4.8",".",".",".",".",".",".",".",".","."
"","001
303","12","2.682","16.7","8.3","25.0",".","33.3","8.3",".",".",".",".",".",".","8.3",".",".","."
"","303
002","20","3.225","5.0","50.0","35.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","303
003","18","2.694",".","27.8","5.6","44.4","22.2",".",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials","Course Total","50","2.908","6.0","32.0","22.0","18.0","18.0","2.0",".",".",".",".",".",".","2.0",".",".","."
"","304
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","304
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","304
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Mechanics of Materials","Course Total","5","***","","","","","","","","","","","","","","","",""
"","307
001","11","3.455","36.4","27.3","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","307
002","7","3.143",".","28.6","71.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
005","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
006","6","3.417",".","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","008
307","11","3.545","27.3","54.5","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","43","3.407","23.3","39.5","32.6","4.7",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum-Finite Elements","405
001","29","3.534","20.7","65.5","13.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Design Probs in Engineering","469
001","29","3.845","69.0","31.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","489
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","489
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors in Research","Course Total","2","***","","","","","","","","","","","","","","","",""
"Adv Mech of Materials I","506
001","43","3.035","18.6","23.3","30.2","11.6","11.6","4.7",".",".",".",".",".",".",".",".",".","."
"Aerodynamics","521
001","31","2.694","9.7","19.4","22.6","22.6","12.9","12.9",".",".",".",".",".",".",".",".",".","."
"Advanced Dynamics","542
001","35","2.657","2.9","17.1","40.0","11.4","20.0","5.7","2.9",".",".",".",".",".",".",".",".","."
"Engineering Analysis I","547
001","7","3.071","28.6","14.3","42.9",".",".","14.3",".",".",".",".",".",".",".",".",".","."
"Astrodynamics","550
001","27","3.481","25.9","48.1","22.2","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"Experimental Mechanics","570
001","10","3.750","70.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics: Engr Mech","601
001","10","3.621","50.0","30.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Finite Elements","605
001","22","3.500","40.9","27.3","22.7","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Mechanics of Continua","622
001","7","3.214","42.9","14.3","14.3",".","28.6",".",".",".",".",".",".",".",".",".",".","."
"","699
014","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","3","***","","","","","","","","","","","","","","","",""
