"L&S","","","","","","","","","","","","","","","","","","",""
"JOURN AND MASS COMMUNICA Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"512
JOURN","","","","","","","","","","","","","","","","","","",""
"","201
001","433","3.169","16.4","36.5","24.7","14.3","5.5","1.8","0.5",".",".",".",".",".",".","0.2",".","."
"","201
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Mass Communication","Course Total","434","3.169","16.4","36.4","24.7","14.3","5.5","1.8","0.5",".",".",".",".",".",".","0.2",".","0.2"
"Mass Communication Practices","202
001","102","3.343","10.8","49.0","38.2","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"","335
001","11","3.364","18.2","45.5","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","002
335","16","3.563","43.8","50.0",".",".",".","6.3",".",".",".",".",".",".",".",".",".","."
"","335
003","13","3.577","15.4","84.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Reporting","Course Total","40","3.513","27.5","60.0","7.5","2.5",".","2.5",".",".",".",".",".",".",".",".",".","."
"","345
001","44","3.705","56.8","27.3","15.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
345","39","3.449","28.2","38.5","28.2","5.1",".",".",".",".",".",".",".",".",".",".",".","."
"Principles of Strategic Com","Course Total","83","3.584","43.4","32.5","21.7","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"In-Depth Reporting","401
001","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interpatn Contemp Affairs","404
001","15","3.367","33.3","20.0","40.0",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","405
001","16","3.656","37.5","56.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","405
003","10","3.611","40.0","30.0","20.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Creative Nonfiction","Course Total","26","3.640","38.5","46.2","11.5",".",".",".",".","3.8",".",".",".",".",".",".",".","."
"Science & Envir Journalism","001
415","17","3.588","52.9","23.5","11.8","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"Magazines&Magazine Editing","417
001","16","3.133","25.0","18.8","25.0","6.3","18.8",".",".",".",".",".",".",".",".",".","6.3","."
"Electronc News-Web & Broadcast","419
001","12","3.625","41.7","41.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Develop Creatv Messages-Media","445
001","29","3.810","65.5","31.0","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Communicatn Campaign","449
001","35","3.629","31.4","62.9","5.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Law of Mass Communication","559
001","113","2.783","9.7","13.3","33.6","23.0","15.9","2.7","1.8",".",".",".",".",".",".",".",".","."
"Hist of Mass Communication","560
001","82","3.333","13.4","46.3","32.9","4.9","1.2",".",".","1.2",".",".",".",".",".",".",".","."
"Effects-Mass Communication","565
001","112","3.207","10.7","35.7","37.5","14.3","0.9",".",".",".",".",".",".",".",".",".","0.9","."
"Communicatn&Public Opinion","614
001","99","3.480","47.5","22.2","16.2","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"Mass Media and the Consumer","001
646","94","3.229","14.9","33.0","39.4","8.5","4.3",".",".",".",".",".",".",".",".",".",".","."
"Mass Media and Minorities","662
001","24","3.542","37.5","50.0","4.2",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Literary Aspects of Journ","669
001","40","3.500","37.5","30.0","30.0",".","2.5",".",".",".",".",".",".",".",".",".",".","."
"","676
014","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","025
676","21","3.881","76.2","23.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Mass Communication","Course Total","31","3.887","77.4","22.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681
092","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","697
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","697
006","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","697
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697
025","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","697
094","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","Course Total","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","699
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
006","87","3.233","13.8","36.8","40.2","5.7","3.4",".",".",".",".",".",".",".",".",".",".","."
"","699
025","8","3.931","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
033","17","3.683","47.1","35.3","5.9","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 238 of 391",""
