"DANCE PROGRAM","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","","","","","",""
"Ballroom Dancing","Course Total","288","3.738","47.6","29.5","5.6","0.3",".","0.3",".","16.0","",".",".","",".","",".","",".",".","0.7","."
"","001
42","16","3.813","31.3","18.8",".",".",".",".",".","50.0",".","",".",".","",".","",".","",".",".","."
"","002
42","22","3.969","68.2","4.5",".",".",".",".",".","27.3",".","",".",".","",".","",".","",".",".","."
"Ballroom Dance II","Course Total","38","3.917","52.6","10.5",".",".",".",".",".","36.8","",".",".","",".","",".","",".",".",".","."
"Sound Dsgn-Perf/Visual Arts","420
001","13","3.615","76.9","15.4",".",".",".",".","7.7",".",".","",".",".","",".","",".","",".",".","."
"Ballet Technique IV","425
001","14","3.625","50.0","21.4","7.1",".","7.1",".",".","14.3",".","",".",".","",".","",".","",".",".","."
"","451
001","8","3.929","75.0","12.5",".",".",".",".",".","12.5",".","",".",".","",".","",".","",".",".","."
"","451
002","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"Dance Repertory Theater","Course Total","16","3.833","68.8","18.8","6.3",".",".",".",".","6.3","",".",".","",".","",".","",".",".",".","."
"Multimedia Sound Design","520
001","5","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Current Topics-Dance:Wkshp","560
001","19","3.237","31.6","31.6","15.8","5.3","10.5","5.3",".",".",".","",".",".","",".","",".","",".",".","."
"Independent Project","699
011","2","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"DANCE
741","Dept. Total","861","3.677","54.7","22.9","8.2","1.6","0.7","0.2","0.7","10.1","","0.1",".","",".","",".","",".","0.3","0.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","111","3.718","69.4","16.2","9.0","2.7",".",".","0.9","1.8","",".",".","",".","",".","",".",".",".","."
"Sophomore","","156","3.732","64.1","21.2","7.7","0.6",".","0.6",".","5.8","",".",".","",".","",".","",".",".",".","."
"Junior","","179","3.713","61.5","22.9","5.6",".",".",".","1.7","7.8","",".",".","",".","",".","",".","0.6",".","."
"Senior","","356","3.734","49.4","19.7","5.6","0.8","0.8",".","0.6","21.9","",".",".","",".","",".","",".","0.3","0.8","."
"Undergraduates","","802","3.726","57.7","20.2","6.5","0.9","0.4","0.1","0.7","12.8","",".",".","",".","",".","",".","0.2","0.4","."
"Special","","18","3.762","44.4","33.3","5.6",".",".",".",".","16.7","",".",".","",".","",".","",".",".",".","."
"Graduate","","45","3.943","51.1","8.9",".",".",".",".",".","40.0","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","","3","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","4","4.000","25.0",".",".",".",".",".",".","75.0","",".",".","",".","",".","",".",".",".","."
"Professionals","","9","4.000","33.3",".",".",".",".",".",".","66.7","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","874","3.735","56.9","19.7","6.1","0.8","0.3","0.1","0.7","14.9","",".",".","",".","",".","",".","0.2","0.3","."
