"CONTINUING AND VOCATIONAL  Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"268
C A V E","","","","","","","","","","","","","","","","","","","",""
"515
Principles of Adult Education","001","","21","3.368","19.0","38.1","28.6",".","4.8",".",".",".",".",".",".",".","4.8",".",".","4.8"
"662
Designing Educ-Work Curricula","001","","19","4.000","89.5",".",".",".",".",".",".","5.3",".",".",".",".","5.3",".",".","."
"665
Career Dev Through Life Spn","001","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"675
General Topics","001","","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","074","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","078","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Stdy-Special Proj&Prob","Course Total","","7","3.794","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"705
Leadership Dynamics","001","","14","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"720
Intro-Continuing & Voc Educ","001","","11","3.818","81.8",".","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"730
Program Develop-Cont Educ","001","","17","3.833","58.8","29.4",".",".",".",".",".",".",".",".",".",".","11.8",".",".","."
"746
Adult Learner:Implictn for C&I","001","","16","3.633","43.8","31.3","18.8",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"811
Leadershp & Coord-Cont&Tech Ed","001","","17","3.781","58.8","29.4","5.9",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"814
Technol in Cont & Higher Educ","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","063","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","064","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","069","","9","",".",".",".",".",".",".",".","55.6","22.2",".",".","22.2",".",".",".","."
"990","074","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","29","",".",".",".",".",".",".",".","69.0","10.3",".",".","20.7",".",".",".","."
"999","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","074","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
