"","990
034","4","***","","","","","","","","","",".",".",".",".","",".",".","."
"","990
038","4","***","","","","","","","","","",".",".",".",".","",".",".","."
"","990
041","1","***","","","","","","","","","",".",".",".",".","",".",".","."
"Thesis","Course Total","32","",".",".",".",".",".",".",".","75.0","3.1",".",".","21.9","",".",".",".","."
"SPANISH
912","Dept. Total","3397","3.357","39.4","21.3","24.0","5.1","6.2","1.1","1.0","1.5","0.1",".",".","0.2","",".","0.1","0.0","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","471","3.173","29.5","19.3","29.7","7.6","10.4","2.1","1.1",".",".",".",".",".","",".",".",".","0.2"
"Sophomore","","668","3.293","37.9","20.2","26.5","6.0","5.8","1.9","1.5",".",".",".",".",".","",".",".",".","0.1"
"Junior","","519","3.248","34.9","20.0","23.9","7.7","9.6","1.2","0.6","1.9",".",".",".",".","",".","0.2",".","."
"Senior","","503","3.197","35.2","21.9","19.3","7.6","8.5","2.8","2.0","2.4",".",".",".",".","",".","0.2",".","0.2"
"Undergraduates","","2161","3.233","34.7","20.4","24.9","7.1","8.4","2.0","1.3","1.0",".",".",".",".","",".","0.1",".","0.1"
"Special","","19","3.289","52.6","15.8","15.8",".","10.5",".","5.3",".",".",".",".",".","",".",".",".","."
"Graduate","","144","3.794","60.4","12.5","2.1",".",".","0.7","1.4","16.0","0.7",".",".","5.6","",".",".","0.7","."
"Prof Yr 2","","2","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"Prof Yr 3","","7","3.750","57.1","14.3","14.3",".",".",".",".","14.3",".",".",".",".","",".",".",".","."
"Professionals","","9","3.694","44.4","33.3","11.1",".",".",".",".","11.1",".",".",".",".","",".",".",".","."
"","Dept. Total","2333","3.259","36.5","19.9","23.4","6.6","7.8","1.9","1.3","2.0","0.0",".",".","0.3","",".","0.1","0.0","0.1"
