"","ELECTRICAL AND COMPUTER E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","","","",""
"Independent Study","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Electroacoustical Engr","401","001","","18","3.500","33.3","55.6","5.6",".",".","5.6",".",".",".",".",".",".",".",".",".","."
"Intro Feedback Control Lab","409","001","","11","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","411","001","","16","3.094","25.0","18.8","18.8","25.0","12.5",".",".",".",".",".",".",".",".",".",".","."
"","411","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","411","003","","10","3.278","20.0","10.0","60.0",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"","411","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","411","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Electric Drive Sys","","Course Total","","30","3.214","26.7","13.3","33.3","13.3","6.7",".",".",".",".",".",".",".","3.3",".","3.3","."
"Electromag Wave Transmissn","420","001","","25","3.125","20.0","32.0","24.0","8.0","8.0",".","4.0","4.0",".",".",".",".",".",".",".","."
"","427","001","","25","3.080","24.0","24.0","20.0","16.0","12.0","4.0",".",".",".",".",".",".",".",".",".","."
"","427","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","427","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","427","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Electric Power Systems","","Course Total","","28","3.074","25.0","21.4","17.9","14.3","14.3","3.6",".","3.6",".",".",".",".",".",".",".","."
"Digital Signal Processing","431","001","","40","3.282","37.5","25.0","7.5","15.0","10.0","2.5",".","2.5",".",".",".",".",".",".",".","."
"Analog Communicatn Systems","436","001","","22","3.773","77.3","9.1","4.5","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Communications Sys","447","001","","24","2.957","16.7","16.7","20.8","33.3","4.2","4.2",".","4.2",".",".",".",".",".",".",".","."
"Medical Instrumentation","462","001","","9","3.167","22.2","11.1","44.4","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"Computers in Medicine","463","001","","14","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Computer Proj in Cntrl&Inst","468","001","","26","3.692","46.2","46.2","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","491","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","491","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Design Project","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Power Electronics Lab","512","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction to Plasmas","525","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Optical Fiber Communication","535","001","","14","3.750","64.3","21.4","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","539","001","","32","3.297","25.0","28.1","28.1","18.8",".",".",".",".",".",".",".",".",".",".",".","."
"","539","002","","14","3.308","42.9","28.6",".","14.3",".",".","7.1",".",".",".",".",".",".",".","7.1","."
"","539","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Artificl Neural Ntwrk","","Course Total","","47","3.300","29.8","27.7","19.1","17.0",".",".","2.1",".",".",".",".",".","2.1",".","2.1","."
"Integrated Circuit Design","548","001","","16","3.219","31.3","18.8","31.3",".","18.8",".",".",".",".",".",".",".",".",".",".","."
"Digital Sys Design & Synthesis","551","001","","64","3.398","46.9","17.2","20.3","6.3","6.3","3.1",".",".",".",".",".",".",".",".",".","."
"","552","001","","32","2.938","21.9","15.6","18.8","21.9","18.8","3.1",".",".",".",".",".",".",".",".",".","."
"","552","002","","65","3.308","27.7","23.1","40.0","4.6","3.1","1.5",".",".",".",".",".",".",".",".",".","."
"Intro-Computer Architecture","","Course Total","","97","3.186","25.8","20.6","33.0","10.3","8.2","2.1",".",".",".",".",".",".",".",".",".","."
"Testing Desgn - Digital Sys","553","001","","62","3.113","12.9","21.0","45.2","17.7","3.2",".",".",".",".",".",".",".",".",".",".","."
"Digital Engineering Lab","554","001","","32","3.672","53.1","28.1","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Elec&Computer Engr","601","003","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","","Page 116 of 391",""
