"PHILOSOPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","",""
"","101
001","96","3.016","17.7","28.1","24.0","10.4","15.6",".","3.1","1.0",".",".",".",".",".",".",".","."
"","101
002","86","2.706","7.0","16.3","25.6","27.9","16.3","3.5","2.3","1.2",".",".",".",".",".",".",".","."
"","003
101","91","2.994","22.0","16.5","24.2","17.6","12.1","3.3","1.1","2.2",".",".",".",".",".","1.1",".","."
"","004
101","94","3.086","21.3","22.3","30.9","13.8","5.3","4.3","1.1","1.1",".",".",".",".",".",".",".","."
"","005
101","75","3.500","45.3","28.0","13.3","8.0","5.3",".",".",".",".",".",".",".",".",".",".","."
"","006
101","78","3.128","26.9","15.4","29.5","20.5","5.1","1.3","1.3",".",".",".",".",".",".",".",".","."
"Introduction to Philosophy","Course Total","520","3.061","22.7","21.2","24.8","16.3","10.2","2.1","1.5","1.0",".",".",".",".",".","0.2",".","."
"First Course for Honors","001
181","18","3.500","38.9","27.8","27.8","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","210
001","104","3.024","20.2","21.2","30.8","10.6","10.6","4.8","1.0","1.0",".",".",".",".",".",".",".","."
"","210
002","24","3.188","25.0","25.0","20.8","20.8","8.3",".",".",".",".",".",".",".",".",".",".","."
"Reason in Communication","Course Total","128","3.055","21.1","21.9","28.9","12.5","10.2","3.9","0.8","0.8",".",".",".",".",".",".",".","."
"","211
001","81","3.269","29.6","29.6","21.0","9.9","2.5",".","3.7","2.5",".",".",".",".",".","1.2",".","."
"","002
211","79","3.340","40.5","24.1","16.5","10.1","3.8","1.3","2.5","1.3",".",".",".",".",".",".",".","."
"","003
211","79","3.045","38.0","10.1","17.7","13.9","7.6","6.3","3.8","1.3",".",".",".",".",".","1.3",".","."
"","211
004","24","3.391","50.0","16.7","12.5","8.3","4.2",".","4.2",".",".",".",".",".",".",".","4.2","."
"Elementary Logic","Course Total","263","3.234","37.3","20.9","17.9","11.0","4.6","2.3","3.4","1.5",".",".",".",".",".","0.8","0.4","."
"Introductory Ethics","002
241","84","3.163","20.2","25.0","38.1","7.1","6.0",".","2.4",".",".",".",".",".",".","1.2",".","."
"Philosophy of the Arts","253
001","85","3.136","28.2","14.1","36.5","2.4","10.6",".","3.5","3.5",".",".",".",".",".","1.2",".","."
"Humanity, Religion&Society","258
001","55","3.096","12.7","30.9","20.0","23.6","7.3",".",".","1.8",".",".",".",".",".","3.6",".","."
"Intro-Philos of Religion","261
001","60","3.158","18.3","10.0","53.3","10.0","3.3",".",".","3.3",".",".",".",".","1.7",".",".","."
"","341
001","93","3.151","12.9","26.9","40.9","16.1","3.2",".",".",".",".",".",".",".",".",".",".","."
"","341
002","109","3.104","17.4","22.9","35.8","11.9","6.4","1.8","0.9","0.9",".",".",".",".",".","1.8",".","."
"","341
092","18","3.472","27.8","38.9","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","341
093","19","3.868","73.7","26.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","341
094","13","3.308","15.4","38.5","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","341
095","18","3.694","50.0","38.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Moral Issues","Course Total","270","3.249","22.6","27.4","33.3","10.7","3.7","0.7","0.4","0.4",".",".",".",".",".","0.7",".","."
"Hist of Ancient Philosophy","430
001","54","3.507","44.4","13.0","38.9","1.9",".",".",".",".",".",".",".",".",".","1.9",".","."
"History-Modern Philosophy","432
001","50","3.213","20.0","34.0","22.0","10.0","2.0","2.0","2.0","6.0",".",".",".",".",".","2.0",".","."
"Jewish Philos:Antiquity-17c","435
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"French Philos-Existentialsm","440
001","55","3.333","23.6","34.5","27.3","9.1","3.6",".",".","1.8",".",".",".",".",".",".",".","."
"Environmental Ethics","441
001","54","3.548","33.3","50.0","11.1",".",".",".","1.9","1.9",".",".",".",".",".",".","1.9","."
"Moral Philos & the Holocaust","442
001","7","3.100","14.3","14.3","28.6",".","14.3",".",".","28.6",".",".",".",".",".",".",".","."
"Classical Philosophers","454
001","17","3.281","29.4","17.6","29.4","11.8","5.9",".",".","5.9",".",".",".",".",".",".",".","."
"Junior Honors Seminar","482
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Symbolic Logic","511
001","17","3.344","47.1","23.5",".","17.6",".",".","5.9",".",".",".",".",".",".","5.9",".","."
"Language and Meaning","516
001","21","3.263","28.6","28.6","19.0","9.5",".",".","4.8","9.5",".",".",".",".",".",".",".","."
"Philos of Natural Sciences","520
001","18","3.147","22.2","22.2","38.9","5.6",".",".","5.6",".",".",".",".",".",".","5.6",".","."
"Philosophy and Literature","526
001","14","3.231","7.1","50.0","21.4","7.1","7.1",".",".",".",".",".",".",".","7.1",".",".","."
"Modern Philosophies of Ed","540
001","20","3.500","35.0","30.0","35.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Philos of Artificial Sci","554
001","16","3.533","25.0","50.0","18.8",".",".",".",".",".",".",".",".",".",".",".",".","6.3"
"Political Philosophy","555
001","26","3.250","19.2","42.3","19.2","7.7","11.5",".",".",".",".",".",".",".",".",".",".","."
