"L&S","","","","","","","","","","","","","","","","","","",""
"ECONOMICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","",""
"","101
001","372","2.849","21.2","15.1","20.4","16.7","19.6","5.1","1.9",".",".",".",".",".",".",".",".","."
"","002
101","414","2.845","14.7","18.4","21.5","19.3","23.2","2.2","0.7",".",".",".",".",".",".",".",".","."
"","101
003","464","2.667","11.6","15.7","22.2","19.2","20.9","7.5","2.4","0.2",".",".",".",".",".","0.2",".","."
"","101
004","293","2.730","7.8","16.4","24.9","27.6","18.1","2.4","2.0","0.7",".",".",".",".",".",".",".","."
"Principles-Microeconomics","Course Total","1543","2.771","14.1","16.4","22.1","20.2","20.7","4.5","1.7","0.2",".",".",".",".",".","0.1",".","."
"","001
102","350","2.735","14.9","17.1","21.4","15.7","20.0","6.6","2.9","1.1",".",".",".",".","0.3",".",".","."
"","102
002","316","2.763","16.1","15.2","20.3","22.2","18.4","5.7","2.2",".",".",".",".",".",".",".",".","."
"Principles-Macroeconomics","Course Total","666","2.748","15.5","16.2","20.9","18.8","19.2","6.2","2.6","0.6",".",".",".",".","0.2",".",".","."
"","111
001","32","3.403","31.3","31.3","18.8","15.6",".",".",".","3.1",".",".",".",".",".",".",".","."
"","003
111","28","3.339","39.3","17.9","21.4","14.3","7.1",".",".",".",".",".",".",".",".",".",".","."
"Prin/Econ-Accelratd Treatmt","Course Total","60","3.373","35.0","25.0","20.0","15.0","3.3",".",".","1.7",".",".",".",".",".",".",".","."
"","300
001","13","2.962","15.4",".","61.5","7.7","15.4",".",".",".",".",".",".",".",".",".",".","."
"","300
002","18","2.500",".","16.7","38.9","16.7","11.1","11.1","5.6",".",".",".",".",".",".",".",".","."
"","300
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction to Finance","Course Total","35","2.671","5.7","11.4","42.9","14.3","17.1","5.7","2.9",".",".",".",".",".",".",".",".","."
"","301
001","67","2.743","10.4","6.0","32.8","22.4","13.4","1.5","3.0","4.5",".",".",".",".","1.5","4.5",".","."
"","301
002","78","2.974","23.1","17.9","16.7","20.5","15.4","2.6","1.3","1.3",".",".",".",".",".","1.3",".","."
"Intmed Microeconomic Theory","Course Total","145","2.872","17.2","12.4","24.1","21.4","14.5","2.1","2.1","2.8",".",".",".",".","0.7","2.8",".","."
"","302
001","85","2.982","17.6","20.0","23.5","25.9","9.4",".","2.4","1.2",".",".",".",".",".",".",".","."
"","302
002","91","3.011","9.9","25.3","33.0","20.9","8.8","1.1",".",".",".",".",".",".",".","1.1",".","."
"Intmed Macroeconomic Theory","Course Total","176","2.997","13.6","22.7","28.4","23.3","9.1","0.6","1.1","0.6",".",".",".",".",".","0.6",".","."
"The Real Estate Process","001
306","49","2.500","8.2","14.3","16.3","24.5","18.4","10.2","4.1","4.1",".",".",".",".",".",".",".","."
"","310
001","52","2.798","25.0","17.3","17.3","3.8","28.8",".","7.7",".",".",".",".",".",".",".",".","."
"","310
002","45","2.356","6.7","22.2","26.7","4.4","17.8","4.4","17.8",".",".",".",".",".",".",".",".","."
"Stats:Measrmnt in Economics","Course Total","97","2.593","16.5","19.6","21.6","4.1","23.7","2.1","12.4",".",".",".",".",".",".",".",".","."
"Intmed Microecon-Math Trtmt","311
001","12","3.042","25.0","33.3","8.3","25.0",".",".","8.3",".",".",".",".",".",".",".",".","."
"","320
001","7","2.571",".","14.3","14.3","42.9","28.6",".",".",".",".",".",".",".",".",".",".","."
"","320
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Investments","Course Total","10","2.650",".","20.0","10.0","50.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"Public Utilities","001
325","26","3.558","46.2","26.9","23.1",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"Money and Banking","330
001","174","2.865","15.5","18.4","20.1","20.7","20.7","1.7","1.1","1.7",".",".",".",".",".",".",".","."
"Environmental Economics","343
001","57","2.801","12.3","17.5","29.8","14.0","17.5","7.0",".","1.8",".",".",".",".",".",".",".","."
"Role of Govt-The Economy","352
001","68","3.215","27.9","19.1","29.4","4.4","14.7",".",".",".",".",".",".",".",".","2.9",".","1.5"
"Survey-Internatl Economics","364
001","88","3.040","25.0","10.2","30.7","13.6","19.3",".",".","1.1",".",".",".",".",".",".",".","."
"Contemporary Economic Issues","390
014","22","3.632","36.4","36.4","13.6",".",".",".",".",".",".",".",".",".",".","9.1",".","4.5"
"Introductory Econometrics","410
001","39","2.949","5.1","17.9","48.7","17.9","10.3",".",".",".",".",".",".",".",".",".",".","."
"Urban & Regional Economics","420
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Episodes-Macroeconomic Hist","432
002","51","3.010","23.5","19.6","21.6","17.6","13.7","2.0","2.0",".",".",".",".",".",".",".",".","."
"Internatl Trade & Finance","001
464","72","2.907","31.9","9.7","12.5","13.9","22.2","4.2","2.8",".",".",".",".",".",".","2.8",".","."
"American Economy to 1865","465
001","9","2.722","11.1","11.1","44.4","22.2",".",".","11.1",".",".",".",".",".",".",".",".","."
"Indus Organizat/Imperf Comp","468
001","19","2.868","31.6","15.8","15.8","10.5","10.5","10.5","5.3",".",".",".",".",".",".",".",".","."
"Economics of Growth","475
001","58","3.044","20.7","22.4","20.7","19.0","17.2",".",".",".",".",".",".",".",".",".",".","."
