"ART DEPARTMENT","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","","",""
"","376","002","","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Photography","","Course Total","","26","3.846","73.1","23.1","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","412","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","412","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Drawing II","","Course Total","","6","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sound Dsgn-Perf/Visual Arts","420","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Painting II","422","001","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Computer Imaging Techniques","428","001","","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448","001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448","002","","21","4.000","95.2",".",".",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"Special Topics","","Course Total","","43","4.000","97.7",".",".",".",".",".",".",".",".",".",".",".","2.3",".",".","."
"Concept&Methodol of Figuration","452","001","","11","3.636","72.7","18.2",".",".",".","9.1",".",".",".",".",".",".",".",".",".","."
"Intermediate Photography","476","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Relief Printmaking","506","001","","7","3.833","57.1","28.6",".",".",".",".",".",".",".",".",".",".",".","14.3",".","."
"Colloquium in Art","508","001","","68","3.896","88.2","7.4",".","1.5",".","1.5",".","1.5",".",".",".",".",".",".",".","."
"Advanced Drawing I","512","001","","7","3.868","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Sculpture I","514","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Lithography","516","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Artist's Video","518","001","","14","3.536","50.0","28.6","7.1","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"Advanced Painting I","522","002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Ceramics I","524","001","","10","3.517","20.0","60.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Etching/Intaglio","526","001","","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Computer-Mediated Art","528","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Life Drawing I","532","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Wood Working","534","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Serigraphy","536","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Watercolor I","542","001","","7","3.850","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Art Metal I","544","001","","7","4.000","71.4",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","14.3"
"","546","001","","13","3.615","53.8","30.8","7.7",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","546","002","","11","3.682","63.6","18.2","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Typography&Graphic Dsgn","","Course Total","","24","3.646","58.3","25.0","8.3","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"Adv Concpts&Meth-Figuratn I","552","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Glassworking","554","001","","16","3.526","31.3","31.3","25.0",".",".",".",".",".",".",".",".",".",".","12.5",".","."
"Adv Graphic Design Technlgy","556","001","","16","3.719","81.3","6.3",".",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Advanced Photography","576","001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interdis Critiq-Visual Arts","608","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Drawing II","612","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Sculpture II","614","001","","9","3.389","22.2","44.4","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","622","001","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","622","002","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Painting II","","Course Total","","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
