"LANDSCAPE ARCHITECTURE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"520
LAND ARC","","","","","","","","","","","","","","","","","","",""
"","201
001","24","2.917","16.7","16.7","12.5","41.7","12.5",".",".",".",".",".",".",".",".",".",".","."
"","201
002","26","3.000","3.8","23.1","42.3","23.1","3.8",".",".","3.8",".",".",".",".",".",".",".","."
"Intro Land Arc Studio","Course Total","50","2.959","10.0","20.0","28.0","32.0","8.0",".",".","2.0",".",".",".",".",".",".",".","."
"","001
250","24","2.478","4.2","12.5","8.3","20.8","50.0",".",".","4.2",".",".",".",".",".",".",".","."
"","002
250","21","2.833","14.3","14.3","28.6","9.5","33.3",".",".",".",".",".",".",".",".",".",".","."
"","250
003","19","2.605","21.1","5.3","10.5",".","63.2",".",".",".",".",".",".",".",".",".",".","."
"","250
004","22","2.409","13.6",".","18.2","9.1","50.0","9.1",".",".",".",".",".",".",".",".",".","."
"","250
005","24","2.957","25.0","12.5","8.3","29.2","20.8",".",".","4.2",".",".",".",".",".",".",".","."
"","250
006","19","2.605","10.5","5.3","26.3","10.5","47.4",".",".",".",".",".",".",".",".",".",".","."
"","250
007","22","2.727","4.5","22.7","27.3","4.5","40.9",".",".",".",".",".",".",".",".",".",".","."
"Survey of Land Arch Design","Course Total","151","2.661","13.2","10.6","17.9","12.6","43.0","1.3",".","1.3",".",".",".",".",".",".",".","."
"Prin Land Arc Dsgn&Graphics","261
001","23","3.543","34.8","39.1","26.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","263
001","9","3.111","22.2","22.2","22.2","22.2","11.1",".",".",".",".",".",".",".",".",".",".","."
"","263
002","9","3.278","55.6",".","11.1","11.1","22.2",".",".",".",".",".",".",".",".",".",".","."
"Landscape Plants I","Course Total","18","3.194","38.9","11.1","16.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"","299
000A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Studies","Course Total","3","***","","","","","","","","","","","","","","","",""
"Disease-Landscp Trees&Shrub","309
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Landscape Arch Tech II","354
001","21","3.333","23.8","38.1","23.8","9.5","4.8",".",".",".",".",".",".",".",".",".",".","."
"Planting Design I","365
001","21","3.190","23.8","19.0","33.3","19.0","4.8",".",".",".",".",".",".",".",".",".",".","."
"","375
001","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","14","3.769","57.1","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".","7.1","."
"Coord Intrnshp/Cooprtv Educ","399
015","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Environmental Aesthetics","548
001","13","2.846",".","23.1","38.5","23.1","15.4",".",".",".",".",".",".",".",".",".",".","."
"Professionl Pract-Land Arch","550
001","20","3.175","10.0","35.0","45.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Landscape Arch","610
001","20","3.574","45.0","25.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Restoration Ecology","666
001","14","3.167","28.6","14.3","35.7",".",".",".","7.1","14.3",".",".",".",".",".",".",".","."
"Applictn of GIS:Natrl Rsrcs","695
001","6","3.083","16.7","16.7","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"Soc Pol&Mgmt-National Parks","749
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Graduate Seminar","940
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
011","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
015","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
016","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","7","",".",".",".",".",".",".",".","57.1",".",".",".","42.9",".",".",".","."
"Independent Studies","999
015","3","***","","","","","","","","","",".",".",".",".",".",".","."
