"LIBRARY & INFORMATION STUD Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","","",""
"Info Agencies & Their Envir","450","002","","87","3.366","35.6","25.3","24.1","3.4","10.3",".",".",".",".",".",".",".",".",".",".","1.1"
"Organization of Information","551","001","","40","3.679","40.0","52.5","5.0",".",".",".",".",".",".",".",".",".","2.5",".",".","."
"Music Resrch Mthds & Matls","619","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","620","001","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"","620","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Fld Proj-Lib&Info Agencies","","Course Total","","11","3.750","63.6","18.2",".","9.1",".",".",".",".",".",".",".",".","9.1",".",".","."
"Multicult Lit-Chld&Yng Adlt","629","001","","24","3.957","87.5","8.3",".",".",".",".",".",".",".",".",".",".","4.2",".",".","."
"Topics-Library&Informatn St","640","001","","22","3.750","63.6","13.6","9.1","4.5",".",".",".",".",".",".",".",".","9.1",".",".","."
"Reading Interests of Adults","642","001","","33","3.641","39.4","48.5","6.1","3.0",".",".",".",".",".",".",".",".","3.0",".",".","."
"Cataloging & Classification","651","001","","39","3.885","82.1","12.8","5.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Info Services Management","654","001","","32","3.500","31.3","37.5","31.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Res Methods-Libr&Info Study","710","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Corporate&Special Info Serv","732","001","","11","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Archives Adm","734","001","","21","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Rsch Meths-L I S","810","001","","9","3.278","44.4","11.1","33.3",".",".","11.1",".",".",".",".",".",".",".",".",".","."
"Reference & Info Service","825","001","","23","3.773","56.5","34.8","4.3",".",".",".",".",".",".",".",".",".","4.3",".",".","."
"Topic:Lit-Chldrn&Young Adlt","848","001","","35","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Info Agency Managemt","855","001","","11","3.682","36.4","63.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","875","001","","21","3.850","66.7","28.6",".",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"","875","002","","11","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Info Procsng&Retrvl","","Course Total","","32","3.855","71.9","21.9","3.1",".",".",".",".","3.1",".",".",".",".",".",".",".","."
"Smr: Fndations Lib&Info St","950","001","","8","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Probs-Archives: Manuscripts","976","001","","13","3.692","53.8","30.8","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","008","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","999","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","015","","7","3.750","57.1","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","14.3"
"Independent Reading & Rsch","","Course Total","","15","3.792","60.0","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","6.7"
