"SOIL SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"908
SOIL SCI","","","","","","","","","","","","","","","","","","","",""
"230
Soil: Ecosystem & Resource","001","","39","3.346","43.6","17.9","17.9","10.3","7.7","2.6",".",".",".",".",".",".",".",".",".","."
"299
Independent Study","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"301
General Soil Science","001","","44","2.943","22.7","20.5","18.2","13.6","20.5","2.3","2.3",".",".",".",".",".",".",".",".","."
"305
Field Study of Soil","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"323
Soil Biology","001","","14","3.321","28.6","28.6","21.4","21.4",".",".",".",".",".",".",".",".",".",".",".","."
"324
Soils and Envrnmtl Quality","001","","16","3.438","18.8","50.0","31.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"325
Pedology","001","","28","3.304","42.9","17.9","17.9","7.1","10.7","3.6",".",".",".",".",".",".",".",".",".","."
"332
Nutrient Managmnt:Turfgrass","001","","8","3.688","62.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"334
Nutrnt Mgmt:Agronomic Crops","001","","7","3.714","71.4",".","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"336
Nutrnt Mgmt: Nursery Trees","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"372
On-Site Waste Water Treatment","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399
Coord Intrnshp/Cooprtv Educ","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"428
Senior Seminar","001","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"606
Colloquium in Env Tox","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"695
Applictn of GIS:Natrl Rsrcs","001","","7","3.143",".","28.6","71.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","046","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","8","4.000","87.5",".",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"728
Graduate Seminar","001","","25","3.750","8.0","8.0",".",".",".",".",".","84.0",".",".",".",".",".",".",".","."
"799","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract-Soil Science Teaching","Course Total","","2","***","","","","","","","","","","","","","","","",""
"875
Special Topics","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","27","",".",".",".",".",".",".",".","40.7",".",".",".","55.6",".",".","3.7","."
