"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"AGRONOMY","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","3.500",".","100.0",".",".",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","4","3.875","75.0","25.0",".",".",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","17","3.456","41.2","23.5","29.4","5.9",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","51","3.530","47.1","29.4","9.8","3.9","7.8",".","",".",".","",".",".","",".",".","",".","2.0",".","."
"Undergraduates","","73","3.534","46.6","28.8","13.7","4.1","5.5",".","",".",".","",".",".","",".",".","",".","1.4",".","."
"Special","","5","2.750",".","20.0","20.0","20.0","20.0",".","",".","20.0","",".",".","",".",".","",".",".",".","."
"Graduate","","80","3.563","22.5","1.3","3.8","1.3",".","1.3","",".","35.0","",".","26.3","",".","7.5","",".",".","1.3","."
"","Dept. Total","158","3.502","32.9","14.6","8.9","3.2","3.2","0.6","",".","18.4","",".","13.3","",".","3.8","",".","0.6","0.6","."
