"Individual Research Thesis","Course Total","","3","***","","","","","","","","","","","","","","","","","","","","","",""
"","970
001","","3","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","970
002","","3","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Seminar-Related Fields","Course Total","","6","3.900","66.7","16.7",".",".",".","",".","",".","16.7","",".",".","",".","",".","",".",".",".","."
"GREEK
428","Dept. Total","","51","3.490","45.1","25.5","7.8","7.8","2.0","","2.0","",".","7.8","",".",".","",".","",".","",".","2.0",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"428
GREEK","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","4","2.600","25.0",".",".",".","50.0","",".","",".",".","",".",".","",".","",".","",".",".",".","25.0"
"Junior","","","4","3.100","25.0","25.0","25.0",".","25.0","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","10","3.806","80.0","10.0",".","10.0",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","18","3.402","55.6","11.1","5.6","5.6","16.7","",".","",".",".","",".",".","",".","",".","",".",".",".","5.6"
"Special","","","3","3.250","33.3","33.3",".","33.3",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","","20","3.694","60.0","5.0","25.0",".",".","",".","",".","10.0","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","41","3.521","56.1","9.8","14.6","4.9","7.3","",".","",".","4.9","",".",".","",".","",".","",".",".",".","2.4"
