"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"PUB AFFR","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","1","3.000",".",".","100.0",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Senior","1","3.500",".","100.0",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","2","3.250",".","50.0","50.0",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Special","4","3.333","25.0",".","50.0",".",".","",".","",".","",".","",".",".","",".","",".",".",".","25.0","."
"Graduate","142","3.645","52.1","27.5","16.2","2.8","0.7","",".","",".","",".","",".",".","",".","",".","0.7",".",".","."
"Prof Yr 2","3","3.500","33.3","33.3","33.3",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 3","3","3.667","66.7",".","33.3",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Professionals","6","3.583","50.0","16.7","33.3",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
