"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","",""
"PHYSICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","",""
"","103
001","304","2.932","12.2","22.7","28.9","20.4","11.5","3.3","0.7",".",".",".",".",".",".","0.3",".","."
"","103
002","292","2.922","20.5","15.4","22.6","17.8","17.8","4.1","0.3","0.3",".",".",".",".",".","0.7","0.3","."
"General Physics","Course Total","596","2.927","16.3","19.1","25.8","19.1","14.6","3.7","0.5","0.2",".",".",".",".",".","0.5","0.2","."
"General Physics","001
104","210","3.196","15.2","31.0","34.8","14.3","2.9",".","0.5","1.0",".",".",".",".",".",".","0.5","."
"Ideas of Modern Physics","107
001","144","3.113","20.8","16.0","44.4","4.9","9.7","2.8",".","0.7",".",".",".",".",".",".",".","0.7"
"","109
001","90","3.167","21.1","27.8","21.1","23.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"","109
002","87","3.069","20.7","24.1","20.7","17.2","17.2",".",".",".",".",".",".",".",".",".",".","."
"Physics in the Arts","Course Total","177","3.119","20.9","26.0","20.9","20.3","11.9",".",".",".",".",".",".",".",".",".",".","."
"Energy","115
001","26","3.365","11.5","53.8","30.8","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"","201
001","141","2.915","14.2","18.4","24.8","27.0","13.5","1.4","0.7",".",".",".",".",".",".",".",".","."
"","201
002","158","2.908","14.6","15.8","29.1","24.1","14.6","0.6","1.3",".",".",".",".",".",".",".",".","."
"General Physics","Course Total","299","2.911","14.4","17.1","27.1","25.4","14.0","1.0","1.0",".",".",".",".",".",".",".",".","."
"","202
001","203","2.948","19.7","19.7","21.2","16.3","20.7","1.5","1.0",".",".",".",".",".",".",".",".","."
"","202
002","190","2.903","17.4","17.4","20.0","23.2","20.0","2.1",".",".",".",".",".",".",".",".",".","."
"General Physics","Course Total","393","2.926","18.6","18.6","20.6","19.6","20.4","1.8","0.5",".",".",".",".",".",".",".",".","."
"Mod Physics for Engineers","205
001","23","3.045","30.4","4.3","30.4","4.3","26.1",".",".",".",".",".",".",".","4.3",".",".","."
"General Physics","207
001","208","2.909","22.1","17.3","17.8","18.3","19.2","4.3","1.0",".",".",".",".",".",".",".",".","."
"General Physics","208
001","111","3.077","21.6","22.5","24.3","18.0","10.8","2.7",".",".",".",".",".",".",".",".",".","."
"Intro to Modern Physics","241
001","27","3.463","40.7","33.3","14.8","7.4",".","3.7",".",".",".",".",".",".",".",".",".","."
"Modern Physics","244
001","63","2.571","11.1","11.1","17.5","14.3","39.7","6.3",".",".",".",".",".",".",".",".",".","."
"A Modern Intro to Physics","247
001","30","3.483","43.3","20.0","26.7",".","6.7",".",".","3.3",".",".",".",".",".",".",".","."
"A Modern Intro to Physics","249
001","18","3.294","50.0",".","27.8",".","11.1","5.6",".",".",".",".",".",".",".","5.6",".","."
"","307
001","10","3.550","20.0","70.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
002","6","3.250","16.7","16.7","66.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
004","11","3.682","54.5","27.3","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
005","11","3.455","36.4","18.2","45.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intmed Lab-Mech&Mod Physics","Course Total","38","3.513","34.2","34.2","31.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mechanics","311
001","29","3.054","31.0","10.3","24.1","13.8","10.3","6.9",".","3.4",".",".",".",".",".",".",".","."
"Elect Circuits & Electronic","321
001","14","3.214","42.9","7.1","14.3","21.4","14.3",".",".",".",".",".",".",".",".",".",".","."
"Electromagnetic Fields","322
001","14","3.214","28.6","14.3","42.9",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Thermal Physics","415
001","16","3.000","31.3","12.5","25.0","12.5","12.5",".","6.3",".",".",".",".",".",".",".",".","."
"Computational Physics","433
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Atomic and Quantum Physics","448
001","25","3.143","12.0","28.0","28.0","12.0",".","4.0",".","4.0",".",".",".",".",".","12.0",".","."
"Radioisotopes-Med & Biology","463
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","499
040","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","499
061","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","2","***","","","","","","","","","","","","","","","",""
"Radiolgcal Physcs&Dosimetry","501
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction to Plasmas","525
001","12","3.182","8.3","33.3","41.7",".","8.3",".",".",".",".",".",".",".",".","8.3",".","."
"Solid State Physics","001
551","13","3.615","46.2","30.8","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electronic Aids to Measmnt","623
001","22","3.614","40.9","45.5","9.1","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681
098","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 269 of 391",""
