"BUS","","","","","","","","","","","","","","","","","","",""
"FINANCE, INVESTMENT & BANKI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","",""
"","300
001","205","3.051","16.1","15.6","44.4","15.1","6.3","2.4",".",".",".",".",".",".",".",".",".","."
"","300
002","149","2.764","11.4","14.1","34.2","17.4","12.1","5.4","3.4","1.3","0.7",".",".",".",".",".",".","."
"","300
003","96","3.100","25.0","13.5","36.5","12.5","8.3","2.1","1.0","1.0",".",".",".",".",".",".",".","."
"Introduction to Finance","Course Total","450","2.967","16.4","14.7","39.3","15.3","8.7","3.3","1.3","0.7","0.2",".",".",".",".",".",".","."
"Finc Mrkts,Instns&Econ Actv","001
305","46","3.141","19.6","26.1","37.0","2.2","13.0","2.2",".",".",".",".",".",".",".",".",".","."
"","320
001","55","3.000","16.4","25.5","29.1","14.5","9.1","3.6","1.8",".",".",".",".",".",".",".",".","."
"","320
002","92","2.973","12.0","18.5","40.2","15.2","10.9","1.1","1.1","1.1",".",".",".",".",".",".",".","."
"Investments","Course Total","147","2.983","13.6","21.1","36.1","15.0","10.2","2.0","1.4","0.7",".",".",".",".",".",".",".","."
"","325
001","58","3.052","22.4","10.3","37.9","13.8","15.5",".",".",".",".",".",".",".",".",".",".","."
"","002
325","60","3.183","33.3","11.7","28.3","11.7","15.0",".",".",".",".",".",".",".",".",".",".","."
"Corporation Finance","Course Total","118","3.119","28.0","11.0","33.1","12.7","15.3",".",".",".",".",".",".",".",".",".",".","."
"","399
032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
087","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Research-Finance","Course Total","2","***","","","","","","","","","","","","","","","",""
"Bank Management","410
001","74","3.216","17.6","32.4","29.7","16.2","4.1",".",".",".",".",".",".",".",".",".",".","."
"Multinational Bus Finance","445
001","13","3.417","38.5","15.4","23.1","15.4",".",".",".","7.7",".",".",".",".",".",".",".","."
"Security Anal&Invstmt Mgt 1","535
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","630
001","42","3.579","33.3","38.1","19.0",".",".",".",".","9.5",".",".",".",".",".",".",".","."
"","630
002","37","3.403","35.1","24.3","21.6","16.2",".",".",".","2.7",".",".",".",".",".",".",".","."
"Options & Financial Futures","Course Total","79","3.493","34.2","31.6","20.3","7.6",".",".",".","6.3",".",".",".",".",".",".",".","."
"Security Analysis","001
635","48","3.125","6.3","20.8","54.2","10.4",".",".",".","8.3",".",".",".",".",".",".",".","."
"","001
700","45","3.625","48.9","24.4","24.4",".",".",".",".","2.2",".",".",".",".",".",".",".","."
"","002
700","36","3.643","47.2","30.6","19.4",".",".",".",".","2.8",".",".",".",".",".",".",".","."
"","700
030","39","3.577","43.6","28.2","28.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Financial Mgmnt","Course Total","120","3.614","46.7","27.5","24.2",".",".",".",".","1.7",".",".",".",".",".",".",".","."
"Financl Mgt-Depository Inst","710
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Investment Theory&Practice","720
001","46","3.420","26.1","39.1","21.7","6.5","2.2",".",".",".",".",".",".",".",".",".","4.3","."
"Corporatn Finance Thry&Prac","725
001","37","3.405","32.4","27.0","35.1",".","5.4",".",".",".",".",".",".",".",".",".",".","."
"Anal-Fixed Income Securities","740
001","22","3.714","40.9","54.5",".",".",".",".",".",".",".",".",".",".",".",".","4.5","."
"Multinational Bus Finance","745
001","25","3.540","48.0","20.0","24.0","8.0",".",".",".",".",".",".",".",".",".",".",".","."
"Market for Corporate Contrl","750
001","36","3.611","38.9","44.4","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
002","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","16","3.781","62.5","31.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Security Anal&Invstmt Mgt 1","001
835","14","3.708","42.9","35.7","7.1",".",".",".",".",".",".",".",".","14.3",".",".",".","."
"Finance Theory","921
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Investments (Ph.D.)","970
001","11","3.875","54.5","18.2",".",".",".",".",".","27.3",".",".",".",".",".",".",".","."
"Seminar-Workshop in Finance","973
001","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"PhD Thesis-Finance","990
046","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Finance PhD","999
095","1","***","","","","","","","","","",".",".",".",".",".",".","."
