"LAW","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","",""
"Mod American Legal History","831
001","42","3.532","33.3","11.9","28.6",".",".",".",".","26.2",".",".",".",".",".",".",".","."
"Taxation II","840
001","31","3.463","45.2","16.1","16.1","6.5",".",".","3.2","12.9",".",".",".",".",".",".",".","."
"Unfair Trade Practices","843
001","18","3.618","38.9","44.4","5.6","5.6",".",".",".",".",".",".",".",".",".",".","5.6","."
"Environ Law & Institutions","848
001","37","3.423","27.0","10.8","29.7",".","2.7",".",".","29.7",".",".",".",".",".",".",".","."
"","850
001","56","3.814","66.1","16.1","8.9",".",".",".",".","8.9",".",".",".",".",".",".",".","."
"","002
850","39","3.079","10.3","30.8","28.2","20.5","7.7",".",".","2.6",".",".",".",".",".",".",".","."
"Professnl Responsibilities","Course Total","95","3.500","43.2","22.1","16.8","8.4","3.2",".",".","6.3",".",".",".",".",".",".",".","."
"","852
001","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","852
002","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","852
003","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","852
004","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","852
005","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","852
006","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","852
007","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","852
008","9","3.722","44.4","55.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Trial Advocacy","Course Total","65","3.844","41.5","12.3","3.1",".",".",".",".","43.1",".",".",".",".",".",".",".","."
"","854
001","44","",".",".",".",".",".",".",".","95.5",".",".",".",".","4.5",".",".","."
"","854
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
003","10","3.942","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","854
004","19","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
005","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
006","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
008","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
009","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
010","19","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
011","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinical Program","Course Total","121","3.954","10.7","0.8",".",".",".",".",".","86.0",".",".",".",".","2.5",".",".","."
"","001
860","19","3.895","84.2","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","860
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Criminal Procedure","Course Total","24","3.869","70.8","8.3","8.3",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Institutionalized Persons","862
001","45","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"International Trade Law","871
001","18","3.533","33.3","22.2","27.8",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Client Counselling","880
001","15","3.700","66.7","13.3","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Wis Environmntl Law Journal","894
001","26","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Wisconsin Internl Law Journ","895
001","70","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Womens Law Journal","896
001","27","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Law Review","899
001","77","",".",".",".",".",".",".",".","98.7",".",".",".",".",".",".","1.3","."
"","904
001","24","3.739","58.3","25.0","12.5",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"","002
904","36","3.514","47.2","19.4","27.8",".","2.8","2.8",".",".",".",".",".",".",".",".",".","."
"Constitutional Law Seminar","Course Total","60","3.624","51.7","21.7","21.7",".","1.7","1.7",".","1.7",".",".",".",".",".",".",".","."
"Law, Sci & Biotechnolgy Smr","906
001","21","3.675","52.4","23.8","19.0",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"Seminar-Psychiatry and Law","911
001","17","3.882","76.5","23.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
