"LINGUISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"550
LINGUIS","","","","","","","","","","","","","","","","","","",""
"Human Language","101
001","253","3.149","26.5","28.1","17.4","11.5","9.5","4.7","0.4","1.2",".",".",".",".",".","0.4","0.4","."
"Bascom Course","236
001","18","3.806","66.7","27.8","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Ling-Descript&Theoret","301
001","29","3.466","41.4","34.5","10.3","3.4","10.3",".",".",".",".",".",".",".",".",".",".","."
"General Phonetics","306
001","6","3.800","50.0","33.3",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Phonology","310
001","19","3.553","57.9","21.1",".","15.8","5.3",".",".",".",".",".",".",".",".",".",".","."
"Syntax","330
001","13","3.269","30.8","15.4","30.8","23.1",".",".",".",".",".",".",".",".",".",".",".","."
"Language and Culture","430
001","11","3.162","36.4","18.2","18.2","9.1","9.1","9.1",".",".",".",".",".",".",".",".",".","."
"Problems in Morphology","522
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Experimntl Phonetics","561
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","699
013","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Methods&Materials","800
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar","977
001","6","3.800","50.0","33.3",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"","990
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
010","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
013","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
038","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","Course Total","15","",".",".",".",".",".",".",".","46.7",".",".",".","53.3",".",".",".","."
"Independent Reading","999
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"LINGUIS
550","Dept. Total","390","3.296","34.9","25.1","13.8","9.5","7.4","3.3","0.3","2.8",".",".",".","2.1","0.3","0.3","0.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"550
LINGUIS","","","","","","","","","","","","","","","","","","",""
"Freshmen","","87","2.826","10.3","19.5","31.0","14.9","17.2","4.6","1.1","1.1",".",".",".",".",".",".",".","."
"Sophomore","","114","3.170","25.4","22.8","28.1","10.5","7.9","3.5",".","1.8",".",".",".",".",".",".",".","."
"Junior","","48","3.011","33.3","16.7","14.6","6.3","16.7","4.2","4.2","4.2",".",".",".",".",".",".",".","."
"Senior","","65","3.489","47.7","15.4","18.5","4.6","3.1","3.1",".","4.6",".",".",".",".","3.1",".",".","."
"Undergraduates","","314","3.114","27.1","19.4","24.8","9.9","10.8","3.8","1.0","2.5",".",".",".",".","0.6",".",".","."
"Special","","8","3.571","50.0","12.5","12.5","12.5",".",".",".","12.5",".",".",".",".",".",".",".","."
"Graduate","","57","3.788","52.6","10.5","1.8",".",".",".","1.8","22.8",".",".",".","10.5",".",".",".","."
"","Dept. Total","379","3.196","31.4","17.9","21.1","8.4","9.0","3.2","1.1","5.8",".",".",".","1.6","0.5",".",".","."
