"FAM & CONSUMER COMMUNICA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"464
FAM COM","","","","","","","","","","","","","","","","","","","",""
"100","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"100","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"100","004","","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"100","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro Com: Inquiry&Expositn","Course Total","","17","3.647","52.9","23.5","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"130
Family & Consumer Newswrtg","001","","11","3.450","18.2","45.5","27.3",".",".",".",".",".",".",".",".",".",".",".",".","9.1"
"501","001","","11","3.455","36.4","27.3","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"501","002","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","19","3.658","57.9","21.1","15.8","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"515
Pub Info Campaigns & Progms","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"530
Print&Electronic Media Dsgn","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"601","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"601","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","Course Total","","4","***","","","","","","","","","","","","","","","",""
