"ENVIR ST - GAYLORD NELSON I","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","",""
"Environmental Geology","106","001","36","2.333","2.8","8.3","22.2","8.3","47.2","11.1",".",".",".",".",".",".",".",".",".","."
"Envr St-Humanistic Perspctv","113","001","207","3.391","30.9","38.2","21.7","3.9","2.4","0.5","1.9","0.5",".",".",".",".",".",".",".","."
"","120","001","36","2.757","16.7","16.7","22.2","13.9","13.9","13.9",".",".",".",".",".",".",".",".","2.8","."
"","120","002","32","3.219","31.3","21.9","25.0","9.4","9.4","3.1",".",".",".",".",".",".",".",".",".","."
"Global Phys Environments","","Course Total","68","2.978","23.5","19.1","23.5","11.8","11.8","8.8",".",".",".",".",".",".",".",".","1.5","."
"Atmspherc Envirnmnt&Society","121","001","45","2.744","6.7","15.6","26.7","31.1","15.6","4.4",".",".",".",".",".",".",".",".",".","."
"Principles-Envrnmtl Science","126","001","41","3.829","82.9","9.8",".","4.9","2.4",".",".",".",".",".",".",".",".",".",".","."
"","127","001","27","2.722","14.8","14.8","14.8","11.1","44.4",".",".",".",".",".",".",".",".",".",".","."
"","127","002","32","2.828","6.3","21.9","28.1","18.8","25.0",".",".",".",".",".",".",".",".",".",".","."
"Physical Systems of Envr","","Course Total","59","2.780","10.2","18.6","22.0","15.3","33.9",".",".",".",".",".",".",".",".",".",".","."
"Global Chg: Atmospheric Iss","171","001","13","3.531","53.8","30.8","7.7",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"Insects and Human Culture","201","001","10","2.950","10.0","40.0","20.0","10.0","10.0","10.0",".",".",".",".",".",".",".",".",".","."
"Soil: Ecosystem & Resource","230","001","6","3.000","50.0",".","33.3",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"Intro-Aerial Photo Systems","301","001","9","3.500","33.3","44.4","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Elec-op&Micro Remote Sensng","302","001","8","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Remote Sensng Digtl Image","303","001","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Remote Sensng Vis Image&GIS","304","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Limnology-Aquatic Resources","315","001","8","2.438","12.5","12.5","12.5","25.0","25.0",".","12.5",".",".",".",".",".",".",".",".","."
"Soils and Envrnmtl Quality","324","001","7","3.214","14.3","14.3","71.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Analysis of Physical Envr","325","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Our Hazardous Environment","336","001","16","2.750",".","18.8","56.3","6.3","12.5",".","6.3",".",".",".",".",".",".",".",".","."
"","339","001","49","2.886","16.3","16.3","26.5","10.2","24.5",".","2.0","2.0",".",".",".",".",".","2.0",".","."
"","339","002","38","2.588","7.9","10.5","18.4","15.8","34.2",".","2.6","10.5",".",".",".",".",".",".",".","."
"Environmental Conservation","","Course Total","87","2.762","12.6","13.8","23.0","12.6","28.7",".","2.3","5.7",".",".",".",".",".","1.1",".","."
"Environmental Economics","343","001","28","3.361","32.1","25.0","28.6",".","10.7",".",".","3.6",".",".",".",".",".",".",".","."
"History of Ecology","353","001","14","3.077","35.7","7.1","28.6","7.1","7.1",".","7.1",".",".",".",".",".","7.1",".",".","."
"Extinction of Species","360","001","22","3.364","45.5","18.2","22.7","9.1",".",".","4.5",".",".",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377","001","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400","000A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","400","001","11","3.500","18.2","63.6","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400","003","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400","004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","400","005","40","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics-Environ Studies","","Course Total","63","3.725","76.2","15.9","7.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Geom Anal-Vert Aerial Photo","403","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Energy Resources","411","001","13","3.423","38.5","30.8","15.4","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"Environmental Ethics","441","001","33","3.212","21.2","51.5","9.1","9.1","3.0",".","6.1",".",".",".",".",".",".",".",".","."
"Atmospherc Dispersn&Pollutn","535","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Environmental Aesthetics","548","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","600","001","21","3.810","61.9","38.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","002","16","3.563","37.5","43.8","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Envir Studies Cert Seminar","","Course Total","37","3.703","51.4","40.5","5.4","2.7",".",".",".",".",".",".",".",".",".",".",".","."
