"BUS","","","","","","","","","","","","","","","","","","","",""
"MARKETING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"237
MARKETNG","","","","","","","","","","","","","","","","","","","",""
"760
Marketing Strategy","001","","35","3.643","40.0","48.6","11.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","092","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","131","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reading & Rsch-Marketing","Course Total","","24","3.926","95.8",".","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","120","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Marketing","Course Total","","2","***","","","","","","","","","","","","","","","",""
