"COMMUNICATION ARTS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","","",""
"","350","040","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction to Film","","Course Total","161","2.729","4.3","11.2","35.4","34.2","10.6","2.5","1.2","0.6",".",".",".",".",".",".",".","."
"","351","001","161","2.965","8.7","26.1","29.8","21.7","10.6","1.9",".","1.2",".",".",".",".",".",".",".","."
"","351","040","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction to Television","","Course Total","162","2.970","9.3","25.9","29.6","21.6","10.5","1.9",".","1.2",".",".",".",".",".",".",".","."
"Film Styles and Genres","354","001","86","3.099","14.0","29.1","31.4","18.6","4.7","2.3",".",".",".",".",".",".",".",".",".","."
"Intro to Video Production","355","001","123","3.305","19.5","40.7","29.3","5.7","4.1",".","0.8",".",".",".",".",".",".",".",".","."
"Quantitatve Rsch-Communictn","361","001","38","3.092","26.3","15.8","26.3","18.4","10.5","2.6",".",".",".",".",".",".",".",".",".","."
"Thry&Practice of Persuasion","368","001","108","3.213","12.0","41.7","31.5","8.3","5.6","0.9",".",".",".",".",".",".",".",".",".","."
"The Rhetoric of Religion","374","001","34","2.809","8.8","11.8","38.2","26.5","11.8",".","2.9",".",".",".",".",".",".",".",".","."
"Miscommunication","410","001","36","2.958","8.3","13.9","61.1",".","13.9","2.8",".",".",".",".",".",".",".",".",".","."
"History of Broadcasting","450","001","74","2.980","16.2","17.6","33.8","21.6","8.1",".","2.7",".",".",".",".",".",".",".",".","."
"Television Criticism","451","001","39","3.090","17.9","23.1","28.2","20.5","10.3",".",".",".",".",".",".",".",".",".",".","."
"Telecommunications Policy","452","001","42","3.429","28.6","35.7","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Critical Film Analysis","454","001","39","3.447","46.2","25.6","10.3","10.3","2.6",".","2.6",".",".",".",".",".",".","2.6",".","."
"Mass Media & Human Behavior","457","001","118","3.363","39.0","18.6","23.7","11.0","6.8",".",".",".",".",".",".",".",".","0.8",".","."
"Interdis Studies in the Arts","469","001","20","3.895","80.0","10.0","5.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"Public, Community&Alt Media","558","001","35","3.486","28.6","48.6","17.1","2.9","2.9",".",".",".",".",".",".",".",".",".",".","."
"Communication Theory","560","001","24","2.729","12.5","4.2","54.2",".","16.7","12.5",".",".",".",".",".",".",".",".",".","."
"Modern Rhetorical Theory","571","001","19","3.368","31.6","15.8","47.4","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Interpersonal Communication","572","001","28","3.411","42.9","25.0","21.4","7.1",".",".","3.6",".",".",".",".",".",".",".",".","."
"Prin-Rhetorical Criticism","576","001","24","3.604","37.5","45.8","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Communicatn Studies","612","001","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","613","001","15","3.467","40.0","33.3","13.3","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","613","002","15","3.300","33.3","6.7","46.7","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","613","003","11","3.273","18.2","36.4","27.3","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"","613","005","15","3.800","86.7",".","6.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Topics; Broadcasting & Film","","Course Total","56","3.473","46.4","17.9","23.2","8.9","3.6",".",".",".",".",".",".",".",".",".",".","."
"","614","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614","008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614","016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614","019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614","026","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614","027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614","032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614","038","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Field Exper in Communicatn","","Course Total","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Secnd Fld Exp-Communication","615","019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Video Productn&Directn","651","001","23","3.196","13.0","26.1","52.2","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
