"ELECTRICAL AND COMPUTER E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
001","15","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
002","16","3.500","37.5","31.3","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","003
170","15","3.533","53.3","13.3","26.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","170
004","14","3.571","57.1","14.3","21.4",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","170
005","13","3.231","23.1","23.1","38.5","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"","170
006","16","3.094","18.8","18.8","31.3","25.0","6.3",".",".",".",".",".",".",".",".",".",".","."
"","007
170","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","008
170","18","3.722","72.2","5.6","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","170
009","13","3.769","61.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","010
170","16","3.844","81.3","6.3","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introductory Laboratory","Course Total","150","3.583","54.0","18.7","20.0","4.7","2.7",".",".",".",".",".",".",".",".",".",".","."
"Electrodynamics I","220
001","91","2.242","12.1","7.7","20.9","20.9","11.0","12.1","15.4",".",".",".",".",".",".",".",".","."
"Circuit Analysis","230
001","99","3.321","44.4","3.0","37.4","2.0","11.1","1.0",".","1.0",".",".",".",".",".",".",".","."
"","270
001","16","3.531","62.5","18.8","12.5",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"","270
002","16","3.625","68.8","25.0",".",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"","270
003","17","3.441","23.5","41.2","35.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","270
004","13","3.731","53.8","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","270
005","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","270
006","15","3.500","26.7","46.7","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","270
007","12","3.500","25.0","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Circuits Laboratory I","Course Total","105","3.610","50.5","32.4","15.2",".",".",".","1.9",".",".",".",".",".",".",".",".","."
"","271
001","11","3.545","36.4","36.4","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
002","15","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
004","13","3.538","38.5","30.8","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
271","11","3.455","27.3","36.4","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Circuits Laboratory II","Course Total","50","3.540","36.0","36.0","28.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Trans Lines & Netwks Lab","001
301","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Linear Active Circuits Lab","306
001","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nonlinear Elec Circuits Lab","308
001","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
001","9","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
003","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
313","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Optoelectronics Lab","Course Total","24","3.896","79.2","20.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
001","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
002","14","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
003","11","4.000","72.7",".",".",".",".",".",".",".",".",".",".",".",".","27.3",".","."
"","315
004","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Microprocessor Lab","Course Total","44","3.902","81.8","4.5","6.8",".",".",".",".",".",".",".",".",".",".","6.8",".","."
"Sensors Laboratory","001
317","13","3.808","69.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electrodynamics II","320
001","62","2.710","16.1","9.7","24.2","16.1","27.4","4.8","1.6",".",".",".",".",".",".",".",".","."
"Transmission Lines-Digitl Appl","321
002","52","3.885","78.8","19.2","1.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Signals and Systems","330
001","95","2.646","11.6","11.6","20.0","21.1","20.0","8.4","1.1",".",".",".",".",".",".","1.1","5.3","."
"Intro-Random Sig Anal&Stats","331
001","23","2.804","13.0","21.7","17.4","26.1","17.4",".","4.3",".",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 114 of 391",""
