"","999
065","2","***","","","","","","","","","",".",".","",".","",".",".",".","."
"","999
067","1","***","","","","","","","","","",".",".","",".","",".",".",".","."
"","999
095","1","***","","","","","","","","","",".",".","",".","",".",".",".","."
"Independent Work","Course Total","16","4.000","6.3",".",".",".",".",".",".","93.8",".",".","",".","",".",".",".",".","."
"PHILOS
736","Dept. Total","2026","3.211","27.1","23.1","25.1","10.4","5.9","1.2","1.4","4.3",".",".","",".","","0.0","0.5","0.6","0.1","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","220","2.913","13.2","21.8","28.6","18.2","11.8","4.5","0.9",".",".",".","",".","",".",".","0.9",".","."
"Sophomore","","498","3.110","26.7","21.5","24.9","10.8","10.2","3.0","1.6","0.2",".",".","",".","",".",".","0.8","0.2","."
"Junior","","520","3.255","30.8","26.5","21.9","8.5","7.1","2.5","1.0","1.3",".",".","",".","",".","0.2","0.2",".","."
"Senior","","592","3.152","26.0","20.6","25.5","11.8","6.6","1.9","1.9","5.4",".",".","",".","",".",".","0.2","0.2","."
"Undergraduates","","1830","3.139","26.0","22.7","24.7","11.4","8.4","2.7","1.4","2.2",".",".","",".","",".","0.1","0.4","0.1","."
"Special","","17","3.014","35.3","11.8","5.9","5.9",".","5.9","5.9","23.5",".",".","",".","",".","5.9",".",".","."
"Graduate","","149","3.881","32.9","6.7","1.3",".",".",".",".","45.6","0.7",".","",".","",".","9.4",".","3.4","."
"Prof Yr 2","","3","4.000","66.7",".",".",".",".",".",".","33.3",".",".","",".","",".",".",".",".","."
"Professionals","","3","4.000","66.7",".",".",".",".",".",".","33.3",".",".","",".","",".",".",".",".","."
"","Dept. Total","1999","3.158","26.7","21.4","22.8","10.5","7.7","2.5","1.4","5.7","0.1",".","",".","",".","0.8","0.4","0.4","."
