"MILITARY SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"644
MIL SCI","","","","","","","","","","","","","","","","","","","",""
"","101
001","","17","3.441","29.4","64.7",".",".",".",".","5.9",".",".",".",".",".",".",".",".","."
"","101
002","","14","3.536","28.6","50.0","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
003","","14","3.714","50.0","42.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to the Army and ROTC","Course Total","","45","3.556","35.6","53.3","8.9",".",".",".","2.2",".",".",".",".",".",".",".",".","."
"","201
001","","8","3.000","25.0","12.5","12.5","37.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"","002
201","","12","3.208","33.3","25.0","8.3","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"","201
003","","10","3.167","40.0","10.0","10.0",".","30.0",".",".",".",".",".",".",".",".",".",".","10.0"
"Fundamntls-Military Map Rdg","Course Total","","30","3.138","33.3","16.7","10.0","16.7","20.0",".",".",".",".",".",".",".",".",".",".","3.3"
"","331
001","","10","3.650","40.0","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","331
002","","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mil Leadership & Mgt Theory","Course Total","","17","3.706","52.9","35.3","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mil Comm Skills&Admin Oper","441
001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"MIL SCI
644","Dept. Total","","102","3.490","44.1","34.3","8.8","4.9","5.9",".","1.0",".",".",".",".",".",".",".",".","1.0"
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"644
MIL SCI","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","39","3.017","17.9","35.9","23.1","12.8","5.1",".","5.1",".",".",".",".",".",".",".",".","."
"Sophomore","","","47","3.493","48.9","31.9","6.4","4.3","2.1",".","2.1","2.1",".",".",".",".","2.1",".",".","."
"Junior","","","17","3.655","52.9","29.4","5.9","5.9",".",".",".","5.9",".",".",".",".",".",".",".","."
"Senior","","","21","3.966","90.5","9.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","","124","3.482","46.8","29.0","10.5","6.5","2.4",".","2.4","1.6",".",".",".",".","0.8",".",".","."
"Special","","","3","",".",".",".",".",".",".",".","33.3",".",".",".",".",".",".","66.7","."
"","Dept. Total","","127","3.482","45.7","28.3","10.2","6.3","2.4",".","2.4","2.4",".",".",".",".","0.8",".","1.6","."
