"L&S","","","","","","","","","","","","","","","","","","","",""
"","AFRICAN LANGUAGES & LITERA Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"104
AFRICAN","","","","","","","","","","","","","","","","","","","",""
"Literary Legacy of Arabs","120","001","14","3.393","28.6","21.4","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"The African Storyteller","210","001","344","2.556","13.7","10.8","18.6","20.6","18.9","8.4","5.2","3.2","0.6",".",".",".",".",".",".","."
"Intro-Yoruba Life & Culture","230","001","26","3.500","30.8","38.5","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","26","3.109","23.1","15.4","30.8","3.8","11.5","3.8",".","11.5",".",".",".",".",".",".",".","."
"African Lit in Translation","300","001","18","3.083","11.1","38.9","22.2","11.1","16.7",".",".",".",".",".",".",".",".",".",".","."
"First Semester Arabic","321","001","28","3.638","57.1","17.9","14.3","7.1",".",".",".","3.6",".",".",".",".",".",".",".","."
"Third Semester Arabic","323","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Swahili","331","001","20","3.560","55.0","15.0","10.0","15.0",".",".",".",".",".",".",".",".",".",".","5.0","."
"Third Semester Swahili","333","001","12","3.208","25.0","33.3","25.0","8.3",".","8.3",".",".",".",".",".",".",".",".",".","."
"First Semester Hausa","361","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Islam: Religion and Culture","370","001","11","3.550","45.5","27.3",".","18.2",".",".",".",".",".",".",".",".",".",".","9.1","."
"First Semester Yoruba","371","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"African Poetry","411","001","16","3.264","18.8","37.5","25.0","6.3","12.5",".",".",".",".",".",".",".",".",".",".","."
"Contemp Afrcn&Caribbn Drama","413","001","15","3.411","26.7","33.3","13.3","6.7","6.7",".",".","13.3",".",".",".",".",".",".",".","."
"Adv Studies-Swahili Lang-Gr","435","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Readings-Adv Arabic Texts","445","001","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mod African Lit in English","453","001","20","3.265","25.0","25.0","30.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Struct&Analysis-Afric Langs","501","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","669","001","8","3.500","50.0","12.5","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".","12.5"
"","699","009","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","018","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","8","3.722","75.0",".","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"African Verbal Stylistics","702","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-African Mythology","955","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","009","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","016","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","","Course Total","8","",".",".",".",".",".",".",".","75.0",".",".",".","25.0",".",".",".","."
"","999","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","017","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","018","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Reading & Research","","Course Total","8","4.000","75.0",".",".",".",".",".",".",".",".",".",".","12.5",".","12.5",".","."
