"ART DEPARTMENT","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","",""
"","102
001","24","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
002","23","3.522","34.8","34.8","30.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
003","20","2.850","15.0","30.0","20.0","10.0","15.0","5.0","5.0",".",".",".",".",".",".",".",".","."
"","102
004","19","3.316","15.8","42.1","31.6","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"","005
102","21","3.650","61.9","4.8","23.8","4.8",".",".",".",".",".",".",".",".",".",".",".","4.8"
"","102
006","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Two-Dimensional Design","Course Total","126","3.468","42.1","25.4","23.8","4.0","2.4","0.8","0.8",".",".",".",".",".",".",".",".","0.8"
"","104
001","23","3.478","30.4","43.5","17.4","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"","104
002","21","3.500","38.1","33.3","19.0","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"","003
104","15","3.533","53.3","6.7","33.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","104
004","19","3.500","31.6","47.4","15.8",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"Three-Dimensional Design","Course Total","78","3.500","37.2","34.6","20.5","6.4","1.3",".",".",".",".",".",".",".",".",".",".","."
"Foundations of Contemp Art","001
108","196","3.363","33.2","36.2","15.8","7.7","2.0","1.0","2.6","0.5",".",".",".",".",".","1.0",".","."
"","112
001","16","3.233","25.0","25.0","31.3","6.3",".","6.3",".","6.3",".",".",".",".",".",".",".","."
"","112
002","19","3.194","42.1","15.8","15.8",".","15.8",".","5.3","5.3",".",".",".",".",".",".",".","."
"","112
003","18","3.353","61.1","11.1","5.6",".","5.6","5.6","5.6","5.6",".",".",".",".",".",".",".","."
"","112
004","21","3.550","47.6","28.6","9.5",".","9.5",".",".","4.8",".",".",".",".",".",".",".","."
"","112
005","24","3.583","41.7","41.7","12.5",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"","112
006","23","3.565","34.8","43.5","21.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","112
007","20","3.350","25.0","30.0","40.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","112
008","22","3.190","36.4","9.1","13.6","27.3","9.1",".",".","4.5",".",".",".",".",".",".",".","."
"","112
009","19","3.289","31.6","36.8","21.1",".","5.3",".","5.3",".",".",".",".",".",".",".",".","."
"Drawing I","Course Total","182","3.381","38.5","27.5","18.7","3.8","6.0","1.1","1.6","2.7",".",".",".",".",".",".",".","."
"","001
212","18","3.306","33.3","16.7","33.3","11.1","5.6",".",".",".",".",".",".",".",".",".",".","."
"","212
002","20","3.550","45.0","25.0","25.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","003
212","18","3.333","22.2","27.8","44.4","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","212
004","17","3.281","5.9","58.8","17.6","5.9","5.9",".",".","5.9",".",".",".",".",".",".",".","."
"Drawing II","Course Total","73","3.375","27.4","31.5","30.1","6.8","2.7",".",".","1.4",".",".",".",".",".",".",".","."
"","214
001","13","3.654","38.5","53.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","214
002","14","3.458","28.6","35.7","7.1","14.3",".",".",".","7.1",".",".",".",".",".","7.1",".","."
"","214
003","15","3.700","46.7","46.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sculpture I","Course Total","42","3.613","38.1","45.2","7.1","4.8",".",".",".","2.4",".",".",".",".",".","2.4",".","."
"","001
222","18","3.611","38.9","44.4","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
222","17","3.912","88.2","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","222
003","18","3.639","50.0","33.3","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Painting","Course Total","53","3.717","58.5","28.3","11.3","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"","001
224","18","3.611","38.9","44.4","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
224","15","4.000","93.3",".",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"","224
003","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ceramics I","Course Total","52","3.863","76.9","15.4","5.8",".",".",".",".",".",".",".",".",".","1.9",".",".","."
"Textile Design: Off-Loom","226
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","232
001","19","3.053","10.5","21.1","42.1","21.1","5.3",".",".",".",".",".",".",".",".",".",".","."
"","232
002","14","3.464","28.6","35.7","35.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","232
003","15","3.433","26.7","40.0","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
