"SLAVIC (SLAVIC LANGUAGES)","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"888
SLAVIC","","","","","","","","","","","","","","","","","","","","",""
"","101","001","","16","3.063","25.0","12.5","37.5","12.5","6.3","6.3",".",".",".",".",".",".",".",".",".","."
"","101","002","","20","3.368","45.0","25.0","10.0","5.0","5.0",".","5.0","5.0",".",".",".",".",".",".",".","."
"","101","003","","8","3.000","37.5","25.0",".","25.0",".",".","12.5",".",".",".",".",".",".",".",".","."
"","101","004","","15","3.300","26.7","46.7","13.3",".","6.7","6.7",".",".",".",".",".",".",".",".",".","."
"1st Semester Russian","","Course Total","","59","3.216","33.9","27.1","16.9","8.5","5.1","3.4","3.4","1.7",".",".",".",".",".",".",".","."
"First Semester Czech","115","001","","11","3.500","54.5","9.1","9.1","9.1","9.1",".",".","9.1",".",".",".",".",".",".",".","."
"1st Semester Serbo-Croatian","141","001","","9","3.000","22.2","33.3","11.1","11.1","11.1","11.1",".",".",".",".",".",".",".",".",".","."
"Russ Honor Tutorial-Slav101","181","001","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203","001","","8","3.750","87.5",".",".",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","203","002","","7","3.714","71.4","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Russian","","Course Total","","15","3.733","80.0","6.7",".","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Polish","207","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"3rd Semester Serbo-Croatian","251","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Year Russian I","275","001","","22","3.886","81.8","13.6","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Year Polish II","278","001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Russ Honor Tutorial-Slav203","283","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Intensive Polish","301","001","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","310","000A","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","310","000A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","","Section Total","","4","3.700","25.0","75.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Russian:Study Abroad","","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Russian Lang & Culture I","315","001","","14","3.821","85.7","7.1",".",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Fourth Year Russian I","321","001","","20","3.775","80.0","5.0","5.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Year Polish II","332","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"1st Sem Intensive Serbo-Cr","341","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"1st Sem Intensive Czech","351","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Gogol","421","001","","9","3.313","11.1","44.4","11.1","11.1",".",".",".",".",".",".",".",".",".",".","22.2","."
"Soviet Literature","440","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"3rd Sem Intensive Serbo-Cro","441","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","681","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Slavic Crit Theory&Practice","700","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Old Church Slavic","706","001","","10","3.889","80.0",".","10.0",".",".",".",".",".",".",".",".",".",".","10.0",".","."
"","799","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"College Teaching of Russian","820","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Soviet Literature","925","001","","8","4.000","75.0",".",".",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"","991","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","991","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","","Page 286 of 391",""
