"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","",""
"NUR","","","","","","","","","","","","","","","","","","","","","",""
"NUR","College Total","1301","3.835","65.8","17.2","4.2","0.5","0.3",".","",".","3.5","","0.1","8.0",".","","0.4",".","0.1",".","."
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","P","","I","NW","NR","Other"
"NUR","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"Freshmen","","25","3.777","64.0","28.0","8.0",".",".",".","",".",".","",".",".",".","",".",".",".",".","."
"Sophomore","","41","3.728","65.9","24.4","7.3","2.4",".",".","",".",".","",".",".",".","",".",".",".",".","."
"Junior","","209","3.454","41.6","29.2","14.8","10.0","2.9",".","",".",".","",".","1.0",".","",".","0.5",".",".","."
"Senior","","650","3.624","54.5","24.5","13.5","4.8","1.4","0.2","",".",".","",".","1.1",".","",".",".",".","0.2","."
"Undergraduates","","925","3.591","52.3","25.6","13.4","5.7","1.6","0.1","",".",".","",".","1.0",".","",".","0.1",".","0.1","."
"Special","","16","3.667","50.0","37.5","6.3",".",".",".","",".","6.3","",".",".",".","",".",".",".",".","."
"Graduate","","332","3.800","61.1","16.0","5.4","0.9","0.6",".","",".","16.0","",".",".",".","",".",".",".",".","."
"","College Total","1273","3.633","54.6","23.3","11.2","4.4","1.3","0.1","",".","4.2","",".","0.7",".","",".","0.1",".","0.1","."
