"CHEMICAL & BIOLOGICAL ENGR Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"220
CBE","","","","","","","","","","","","","","","","","","","",""
"599","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"599","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","23","3.871","78.3","17.4","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"620
Intmed Transport Phenomena","001","","10","3.350","30.0","30.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"660
Intmed Problems in ChE","002","","20","3.425","25.0","35.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Independent Studies","Course Total","","2","***","","","","","","","","","","","","","","","",""
"710
Adv ChE Thermodynamic","001","","19","3.500","31.6","36.8","31.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"735
Kinetics and Catalysis","001","","21","3.619","38.1","47.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"777
Nonlin Dyn,Bifurcatn,Chaos","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research or Thesis","Course Total","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"890","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","002","","8","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"890","003","","7","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"890","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","008","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"890","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","011","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"890","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","015","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","017","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator's Research","Course Total","","55","",".",".",".",".",".",".",".","40.0",".",".",".","60.0",".",".",".","."
"920
Smr:Adv in Transport Phenom","001","","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"925
Rheology Research Seminar","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"932
Biotechnol Traing Prgm Smr","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"935
Appl-Chem Prin to New Proc","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"960
Research Seminar","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"961
Seminar-Chem Engineering","002","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"970
Process Anal,Syn,Dyn&Contrl","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 108 of 391",""
