"HISTORY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"Amer Hist to Civil War Era","101","001","116","3.060","14.7","28.4","34.5","14.7","3.4","0.9","3.4",".",".",".",".",".",".",".",".","."
"","102","001","211","3.092","13.7","30.8","32.2","10.9","8.1","0.5","1.9","0.9",".",".",".",".",".","0.9",".","."
"","102","002","156","3.198","23.1","29.5","27.6","10.9","4.5","1.3","1.9","1.3",".",".",".",".",".",".",".","."
"Amer Hist-Civil War-Present","","Course Total","367","3.137","17.7","30.2","30.2","10.9","6.5","0.8","1.9","1.1",".",".",".",".",".","0.5",".","."
"Intro-E Asian History:China","103","001","50","3.020","12.0","26.0","32.0","18.0","10.0","2.0",".",".",".",".",".",".",".",".",".","."
"Invasions&Empires:Cent Asia","106","001","57","3.263","19.3","33.3","31.6","12.3","3.5",".",".",".",".",".",".",".",".",".",".","."
"The Ancient Mediterranean","110","001","65","2.976","20.0","21.5","26.2","18.5","3.1","3.1","4.6","1.5",".",".",".",".",".",".",".","1.5"
"Medieval Europe 410-1500","115","001","67","2.984","17.9","16.4","28.4","11.9","14.9","4.5",".","3.0",".",".",".",".",".",".",".","3.0"
"Modern Europe 1500-1815","119","001","62","3.079","11.3","21.0","51.6","9.7","4.8",".","1.6",".",".",".",".",".",".",".",".","."
"Europe&Mod World 1815-On","120","001","69","3.013","14.5","20.3","36.2","14.5","10.1","2.9",".",".",".",".",".",".",".","1.4",".","."
"English History to 1688","123","001","53","2.908","13.2","24.5","28.3","15.1","11.3","3.8","1.9","1.9",".",".",".",".",".",".",".","."
"","200","001","11","3.455","27.3","45.5","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","200","002","7","3.357","14.3","57.1","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Historical Studies","","Course Total","18","3.417","22.2","50.0","16.7","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics-Amer History","201","001","31","2.983","9.7","29.0","25.8","19.4","9.7","3.2",".",".",".",".",".",".",".","3.2",".","."
"Spec Topics-European Hist","202","001","11","3.628","45.5","36.4","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics-3rd World Hist","203","001","19","2.424",".","15.8","10.5","31.6","21.1","5.3","5.3","5.3",".",".",".",".",".","5.3",".","."
"Westrn Relig&Intellect Hist","208","001","35","3.375","37.1","17.1","28.6","5.7",".",".","2.9","2.9",".",".",".",".","5.7",".",".","."
"Colonial Latin America","241","001","39","2.799","12.8","7.7","38.5","20.5","7.7","5.1","2.6","2.6",".",".",".",".",".","2.6",".","."
"SE Asia:Vietnam to Philipns","244","001","47","3.293","19.1","38.3","25.5","10.6","4.3",".",".",".",".",".",".",".",".",".",".","2.1"
"American Business History","247","001","68","3.397","19.1","48.5","26.5","4.4","1.5",".",".",".",".",".",".",".",".",".",".","."
"American South, 1793-1906","258","001","69","2.967","13.0","21.7","27.5","20.3","11.6","2.9",".","2.9",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","57","2.721","15.8","12.3","29.8","10.5","22.8","5.3","3.5",".",".",".",".",".",".",".",".","."
"A History of Greek Civ","303","001","38","3.156","26.3","34.2","15.8","10.5","7.9",".","5.3",".",".",".",".",".",".",".",".","."
"Latin Paleography","316","001","9","3.611","33.3","55.6","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sociol&Intel Hist 400-1200","317","001","50","3.376","32.0","32.0","14.0","14.0","4.0",".",".","2.0",".",".",".",".",".","2.0",".","."
"The Vietnam Wars","319","001","122","3.420","28.7","42.6","21.3","4.1","0.8","2.5",".",".",".",".",".",".",".",".",".","."
"Sci Revol:Copernicus-Newton","323","001","12","3.125","33.3","8.3","33.3",".","25.0",".",".",".",".",".",".",".",".",".",".","."
"Afr/Afroam Hist Rel-1700 on","330","001","17","2.938","29.4","17.6","11.8","5.9","23.5",".","5.9","5.9",".",".",".",".",".",".",".","."
"The Renaissance","333","001","52","3.126","15.4","32.7","23.1","15.4","3.8","1.9","1.9","3.8",".",".",".",".",".","1.9",".","."
"The Protestant Reformation","334","001","35","3.579","48.6","25.7","14.3","5.7","2.9",".",".",".",".",".",".",".",".",".","2.9","."
"Hist-China 1400 BC-589 AD","336","001","36","3.081","25.0","19.4","22.2","19.4","8.3",".","2.8","2.8",".",".",".",".",".",".",".","."
"Rev&Fascism Spain,Ital,Port","340","001","53","3.012","18.9","18.9","26.4","18.9","13.2",".","1.9","1.9",".",".",".",".",".",".",".","."
"Hist-Modern China,1800-1949","341","001","45","3.391","31.1","37.8","15.6","4.4","8.9",".",".",".",".",".",".",".",".","2.2",".","."
"Colonial British North Amer","343","001","27","2.880","3.7","18.5","44.4","18.5","3.7",".","3.7","7.4",".",".",".",".",".",".",".","."
"American Rev 1763-1789","344","001","101","3.341","20.8","41.6","26.7","7.9",".",".","2.0","1.0",".",".",".",".",".",".",".","."
"Women-Amer Society: 1870 on","354","001","49","3.355","28.6","30.6","22.4","6.1","2.0","2.0",".","8.2",".",".",".",".",".",".",".","."
"Europe Betwn Wars,1919-1939","356","001","94","3.038","18.1","17.0","38.3","10.6","12.8","1.1","1.1",".",".",".",".",".",".",".",".","1.1"
"History-Europe Since 1945","359","001","81","3.119","19.8","24.7","29.6","16.0","4.9","3.7",".","1.2",".",".",".",".",".",".",".","."
"Rev&Natlism-Ireland,1780-On","365","001","72","3.141","9.7","27.8","38.9","18.1","1.4",".",".","2.8",".",".",".",".",".",".","1.4","."
