"","990
075","","3","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"Research","Course Total","","13","4.000","46.2",".",".",".",".",".",".","15.4","",".",".","",".","38.5","",".",".",".","."
"Research:Soc of Econ Chnge","993
001","","1","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"Reading and Research","999
005","","2","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"RUR SOC
864","Dept. Total","","91","3.336","30.8","26.4","9.9","1.1","9.9","2.2","1.1","13.2","",".",".","",".","5.5","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","",""
"864
RUR SOC","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","3","2.333",".",".","33.3",".","66.7",".",".",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","","7","3.125","14.3","42.9","14.3",".","28.6",".",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","","9","3.034","11.1","44.4","22.2",".","11.1","11.1",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","","29","3.207","44.8","17.2","13.8","3.4","13.8","3.4","3.4",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","","48","3.107","31.3","25.0","16.7","2.1","18.8","4.2","2.1",".","",".",".","",".",".","",".",".",".","."
"Graduate","","","43","3.747","30.2","27.9","2.3",".",".",".",".","27.9","",".",".","",".","11.6","",".",".",".","."
"","Dept. Total","","91","3.336","30.8","26.4","9.9","1.1","9.9","2.2","1.1","13.2","",".",".","",".","5.5","",".",".",".","."
