"L&S","","","","","","","","","","","","","","","","","","","",""
"CLASSICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"244
CLASSICS","","","","","","","","","","","","","","","","","","","",""
"363
Sci,Philos&Poetry-Mid Ages","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"470
Interpret-Classcl Mythology","001","","50","2.755","16.0","14.0","24.0","10.0","26.0","8.0",".","2.0",".",".",".",".",".",".",".","."
"550
Adv Intdis Stdy-Medvl Civ","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"561
Greek & Roman Med & Phcy","001","","19","3.472","36.8","15.8","42.1",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Reading","Course Total","","3","***","","","","","","","","","","","","","","","",""
