"TERM : 0992","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 1998-99","","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","",""
"","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","",""
"POPULATION HEALTH SCIENCE Section","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","","","","",""
"POP HLTH
Dept. Total
810","328","3.738","56.7","22.6","12.2","0.3","0.9","",".","",".","1.5","",".",".","",".","",".","5.8",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","2","3.500",".","100.0",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Junior","9","3.325","33.3","11.1","44.4",".","11.1","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Senior","14","3.567","64.3","7.1","14.3",".","14.3","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","25","3.473","48.0","16.0","24.0",".","12.0","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Special","14","3.566","35.7","42.9","7.1","7.1",".","",".","",".",".","",".",".","",".","",".","7.1",".",".","."
"Graduate","276","3.770","58.0","22.1","11.6",".",".","",".","",".","1.8","",".",".","",".","",".","6.5",".",".","."
"Prof Yr 1","2","3.700","50.0","50.0",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 2","8","3.778","62.5","25.0","12.5",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 4","3","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Professionals","13","3.833","69.2","23.1","7.7",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Dept. Total","328","3.738","56.7","22.6","12.2","0.3","0.9","",".","",".","1.5","",".",".","",".","",".","5.8",".",".","."
