"BUS","","","","","","","","","","","","","","","","","","",""
"FINANCE, INVESTMENT & BANKI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","",""
"","300
001","116","2.996","15.5","12.9","45.7","10.3","13.8","1.7",".",".",".",".",".",".",".",".",".","."
"","002
300","237","3.104","19.8","11.8","49.8","8.0","8.9","1.3",".","0.4",".",".",".",".",".",".",".","."
"","300
003","48","2.896","10.4","8.3","50.0","12.5","18.8",".",".",".",".",".",".",".",".",".",".","."
"","300
004","113","3.054","22.1","17.7","33.6","8.8","13.3","2.7","0.9","0.9",".",".",".",".",".",".",".","."
"Introduction to Finance","Course Total","514","3.049","18.5","13.0","45.3","9.1","11.9","1.6","0.2","0.4",".",".",".",".",".",".",".","."
"Finc Mrkts,Instns&Econ Actv","305
001","56","2.830","16.1","8.9","25.0","28.6","19.6","1.8",".",".",".",".",".",".",".",".",".","."
"","320
001","70","2.920","17.1","21.4","15.7","25.7","15.7","1.4","1.4","1.4",".",".",".",".",".",".",".","."
"","320
002","61","3.026","19.7","19.7","18.0","18.0","18.0",".",".","6.6",".",".",".",".",".",".",".","."
"Investments","Course Total","131","2.968","18.3","20.6","16.8","22.1","16.8","0.8","0.8","3.8",".",".",".",".",".",".",".","."
"","325
001","45","3.167","20.0","15.6","51.1","4.4","8.9",".",".",".",".",".",".",".",".",".",".","."
"","325
002","52","3.250","25.0","26.9","28.8","11.5","7.7",".",".",".",".",".",".",".",".",".",".","."
"Corporation Finance","Course Total","97","3.211","22.7","21.6","39.2","8.2","8.2",".",".",".",".",".",".",".",".",".",".","."
"","399
023","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
059","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
065","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Research-Finance","Course Total","5","***","","","","","","","","","","","","","","","",""
"Multinational Bus Finance","445
001","56","3.116","26.8","12.5","35.7","7.1","17.9",".",".",".",".",".",".",".",".",".",".","."
"","630
001","52","3.529","42.3","23.1","28.8","3.8",".",".",".",".",".",".",".",".",".","1.9",".","."
"","630
002","48","3.467","37.5","20.8","31.3","6.3",".",".",".","4.2",".",".",".",".",".",".",".","."
"Options & Financial Futures","Course Total","100","3.500","40.0","22.0","30.0","5.0",".",".",".","2.0",".",".",".",".",".","1.0",".","."
"Security Analysis","635
001","51","3.327","23.5","21.6","45.1","5.9",".",".",".","3.9",".",".",".",".",".",".",".","."
"","700
001","46","3.456","26.1","37.0","34.8",".",".",".",".","2.2",".",".",".",".",".",".",".","."
"","002
700","39","3.561","28.2","38.5","17.9",".",".",".",".","15.4",".",".",".",".",".",".",".","."
"Intro to Financial Mgmnt","Course Total","85","3.500","27.1","37.6","27.1",".",".",".",".","8.2",".",".",".",".",".",".",".","."
"Financial Market&Bus Condtn","705
001","9","3.611","44.4","33.3","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financl Mgt-Depository Inst","710
001","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Investment Theory&Practice","720
001","42","3.488","38.1","31.0","16.7","11.9",".",".",".",".",".",".",".",".",".",".","2.4","."
"Corporatn Finance Thry&Prac","725
001","31","3.633","48.4","25.8","22.6",".",".",".",".",".",".",".",".",".",".","3.2",".","."
"Invest Mgt-Finan Institutns","740
001","26","3.769","53.8","46.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Multinational Bus Finance","745
001","24","3.479","33.3","45.8","12.5",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Market for Corporate Contrl","750
001","12","3.333","16.7","33.3","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","765
001","20","3.739","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
053","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
087","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Research-Finance","Course Total","2","***","","","","","","","","","","","","","","","",""
"Intmed Investment Theory","820
001","9","3.500","11.1","66.7","11.1",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Intmed Theory-Bus Finance","825
001","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Security Anal&Invstmt Mgt 1","835
001","11","3.545","36.4","36.4","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Finance PhD","970
001","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Workshop in Finance","973
001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 52 of 375"
