"DAIRY SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"292
DY SCI","","","","","","","","","","","","","","","","","","","",""
"101
Livestock Production","001","","22","2.932","9.1","4.5","68.2",".","18.2",".",".",".",".",".",".",".",".",".",".","."
"299","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","025","","11","3.591","45.5","36.4","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"299","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","17","3.813","64.7","23.5","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"305
Lactation","001","","15","2.964","20.0","13.3","20.0","20.0","20.0",".",".","6.7",".",".",".",".",".",".",".","."
"311
Comparative Animal Nutritn","001","","27","2.241","3.7","18.5","14.8","7.4","40.7",".","14.8",".",".",".",".",".",".",".",".","."
"313","001","","8","3.563","62.5","12.5",".","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"313","002","","14","3.071","14.3","35.7","14.3","21.4","14.3",".",".",".",".",".",".",".",".",".",".","."
"Animal Feeds&Diet Formulatn","Course Total","","22","3.250","31.8","27.3","9.1","22.7","9.1",".",".",".",".",".",".",".",".",".",".","."
"370
Livestck Prod&Hlth-Ag Dvlpm","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"399","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","3","***","","","","","","","","","","","","","","","",""
"466
Dairy Cattle Breeding","001","","9","3.500","55.6","11.1","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"690
Proseminar","001","","15","3.667","40.0","53.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","11","3.733","63.6","9.1","9.1","9.1",".",".",".",".",".",".",".",".","9.1",".",".","."
"799
Pract-Dairy Science Tchng","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"875","004","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"900","001","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"900","002","","6","4.000","83.3",".",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"900","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"900","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"900","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar","Course Total","","26","4.000","65.4",".",".",".",".",".",".","34.6",".",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","","Page 15 of 375"
