"AGRICULTURAL AND APPLIED E Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"108
A A E","","","","","","","","","","","","","","","","","","","","",""
"999
059
Specl Work-Agric Economics","1","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"A A E
Dept. Total
108","375","3.157","30.4","18.7","21.3","10.4","11.5","2.1","0.8","3.5","",".",".","",".","1.1","",".","0.3",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"108
A A E","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","67","2.773","17.9","3.0","29.9","20.9","22.4","4.5",".",".","",".",".","",".",".","",".","1.5",".","."
"Sophomore","51","2.990","27.5","11.8","29.4","9.8","15.7","3.9","2.0",".","",".",".","",".",".","",".",".",".","."
"Junior","67","2.985","22.4","20.9","25.4","10.4","16.4","3.0","1.5",".","",".",".","",".",".","",".",".",".","."
"Senior","110","3.308","31.8","31.8","18.2","10.0","5.5","0.9","0.9","0.9","",".",".","",".",".","",".",".",".","."
"Undergraduates","295","3.055","25.8","19.3","24.4","12.5","13.6","2.7","1.0","0.3","",".",".","",".",".","",".","0.3",".","."
"Special","7","3.071","14.3","28.6","28.6","14.3","14.3",".",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","73","3.695","50.7","15.1","8.2","1.4","2.7",".",".","16.4","",".",".","",".","5.5","",".",".",".","."
"Dept. Total","375","3.157","30.4","18.7","21.3","10.4","11.5","2.1","0.8","3.5","",".",".","",".","1.1","",".","0.3",".","."
