"ART DEPARTMENT","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","",""
"914","057","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"914","058","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Research-Sculpture","Course Total","","40","3.981","97.5","2.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"922","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"922","010","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"922","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","046","","14","3.944","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"922","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","058","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"922","080","","11","3.957","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Research-Painting","Course Total","","40","3.967","95.0","2.5","2.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"924","003","","7","3.912","71.4","14.3",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"924","076","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Research-Ceramics","Course Total","","9","3.929","77.8","11.1",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"942
Adv Research-Watercolor","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"944","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"944","051","","7","3.659","57.1","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Research-Art Metal","Course Total","","8","3.700","62.5","25.0",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"996","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"996","007","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"996","012","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"996","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"996","050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"996","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"996","069","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"996","071","","10","3.818","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Research-Graphics","Course Total","","27","3.926","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"999","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","006","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"999","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","010","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"999","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","020","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"999","025","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"999","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","045","","9","3.720","77.8",".","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"999","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","067","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","069","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","","Page 74 of 375"
