"BOTANY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"208
BOTANY","","","","","","","","","","","","","","","","","","","",""
"123
Plants, Parasites, & People","001","","102","3.420","41.2","28.4","16.7","6.9","2.0",".","2.9","1.0",".",".",".",".",".","1.0",".","."
"130
General Botany","001","","157","2.682","13.4","13.4","22.9","18.5","23.6","5.7","2.5",".",".",".",".",".",".",".",".","."
"151","001","","18","2.972","22.2","11.1","38.9","5.6","16.7","5.6",".",".",".",".",".",".",".",".",".","."
"151","002","","8","2.750","25.0",".","37.5",".","25.0","12.5",".",".",".",".",".",".",".",".",".","."
"Introductory Biology","Course Total","","26","2.904","23.1","7.7","38.5","3.8","19.2","7.7",".",".",".",".",".",".",".",".",".","."
"152
Introductory Biology","001","","20","2.775","10.0","10.0","50.0","5.0","20.0",".","5.0",".",".",".",".",".",".",".",".","."
"160
Heredity","001","","12","2.792","16.7","8.3","41.7",".","25.0","8.3",".",".",".",".",".",".",".",".",".","."
"240
Plants and Man","001","","79","3.019","25.3","10.1","34.2","11.4","16.5","1.3","1.3",".",".",".",".",".",".",".",".","."
"260
Introductory Ecology","001","","94","2.962","20.2","18.1","24.5","14.9","17.0","4.3",".","1.1",".",".",".",".",".",".",".","."
"300
Plant Anatomy","001","","28","3.259","39.3","7.1","32.1",".","17.9",".",".","3.6",".",".",".",".",".",".",".","."
"330
Algae","001","","13","3.500","61.5","7.7","7.7",".",".",".","7.7",".",".",".",".",".","7.7","7.7",".","."
"400
Plant Systematics","001","","48","3.100","20.8","27.1","29.2",".","12.5",".","4.2","6.3",".",".",".",".",".",".",".","."
"402","001","","9","3.167","44.4","11.1","22.2",".","11.1","11.1",".",".",".",".",".",".",".",".",".","."
"402","002","","11","3.591","54.5","18.2","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Dendrology","Course Total","","20","3.400","50.0","15.0","20.0","5.0","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"403","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"403","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Field Collectns&Identifictn","Course Total","","4","***","","","","","","","","","","","","","","","",""
"455
The Vegetation of Wisconsin","001","","31","3.466","35.5","22.6","32.3",".","3.2",".",".","6.5",".",".",".",".",".",".",".","."
"460
General Ecology","001","","24","3.130","25.0","8.3","45.8",".","16.7",".",".","4.2",".",".",".",".",".",".",".","."
"466
General Genetics","001","","13","2.462","15.4",".","23.1","15.4","30.8","15.4",".",".",".",".",".",".",".",".",".","."
"575","001","","9","3.313","11.1","44.4","22.2","11.1",".",".",".","11.1",".",".",".",".",".",".",".","."
"575","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","13","3.500","30.8","30.8","15.4","7.7",".",".",".","7.7",".",".",".",".",".",".",".","7.7"
"626
Mineral Nutrition of Plants","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"636
Fungal Ecol & Biotechnology","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"639
Capstone-Field Biology I","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"681","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"682
Senior Honors Thesis","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"691","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","042","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","9","3.917","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"692","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"692","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","3","***","","","","","","","","","","","","","","","",""
"698
Directed Study","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
