"REHAB PSYCH & SPECIAL EDU","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","","",""
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","11","3.944","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"700
Smr: Rehab Psych Research","001","","16","3.833","68.8","18.8","6.3",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"755
Meth & Curric-Lrng Dis (El)","001","","22","3.857","81.8","4.5","4.5","4.5",".",".",".","4.5",".",".",".",".",".",".",".","."
"763
Pract-Learning Dis (Elem)","013","","6","3.897","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"764
Pract-Learning Dis (Second)","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"801
Rsch, Pol & Prac-Spec Educ","001","","10","4.000","80.0",".",".",".",".",".",".",".",".",".",".",".","20.0",".",".","."
"803","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"803","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"803","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Current Issues-Special Educ","Course Total","","4","***","","","","","","","","","","","","","","","",""
"810
Rehab Cnslg Psych-Technique","001","","13","3.692","53.8","30.8","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"835
Leadershp-Inclusive Schling","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"860","001","","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"860","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Rehab Cnsl Psych-Clin Prac","Course Total","","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"880","002","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"880","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rehab Cnsl Psych-Sup Prac 1","Course Total","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"890
Rehab Cnsl Psych-Sup Prac 2","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900
Rehab Cnsl Psych-Sup Prac 3","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"902","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"902","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indv/Disblty:Educ&Soc Iss","Course Total","","2","***","","","","","","","","","","","","","","","",""
"903
Psychosocial Thry&Research","007","","8","3.563","12.5","87.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"910
Rehab Cnsl Psych-Internship","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"920","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rehab Cnsl Psych-Cnsl Supvn","Course Total","","4","***","","","","","","","","","","","","","","","",""
"921","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship: Adv Prof Pract","Course Total","","3","***","","","","","","","","","","","","","","","",""
"930","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"930","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
