"CONTINUING AND VOCATIONAL  Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"268
C A V E","","","","","","","","","","","","","","","","","","","",""
"299","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","069","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299","078","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","8","3.958","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"318
Prin Adult Ed-Overview","001","","19","3.563","36.8","21.1","26.3",".",".",".",".",".",".",".",".",".",".","10.5","5.3","."
"322
Soc Backgrnd-Adult Learning","001","","18","3.382","16.7","38.9","38.9",".",".",".",".",".",".",".",".",".",".","5.6",".","."
"371
Prgm Planning-Fam&Consmr Ed","001","","18","3.667","61.1","22.2","11.1",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"399","069","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","2","***","","","","","","","","","","","","","","","",""
"470
Stdt Teaching in Voc Educ","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"600
Intro-Continuing & Voc Educ","001","","6","3.900","66.7","16.7",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"609
Iss & Probs-Cont & Voc Educ","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"630
Program Develop-Cont Educ","001","","15","3.900","86.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"641
The Adult Learner","001","","19","3.781","52.6","26.3","5.3",".",".",".",".",".",".",".",".",".","15.8",".",".","."
"662
Curric-Vocatnl&Technical Ed","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"675
General Topics","001","","20","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","036","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","064","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","078","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Stdy-Special Proj&Prob","Course Total","","11","3.914","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"729
Iss & Probs-Cont & Voc Educ","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"749
Teaching-Learning: Adult Ed","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"795
Internship-Adult & Ext Educ","074","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"811
Suprvsn in Extension&Con Ed","001","","9","3.929","66.7","11.1",".",".",".",".",".",".",".",".",".",".","22.2",".",".","."
"990","036","","8","3.500","12.5",".","12.5",".",".",".",".","25.0",".",".",".","50.0",".",".",".","."
"990","039","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","","12","4.000","16.7",".",".",".",".",".",".","75.0",".",".",".","8.3",".",".",".","."
"990","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","064","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","069","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","074","","11","4.000","63.6",".",".",".",".",".",".","27.3",".",".",".","9.1",".",".",".","."
"990","076","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","48","3.949","27.1",".","2.1",".",".",".",".","43.8",".",".",".","27.1",".",".",".","."
