"CIVIL AND ENVIRONMENTAL EN Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"240
CIV ENGR","","","","","","","","","","","","","","","","","","","",""
"890","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","051","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","053","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","054","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","057","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","062","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"890","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","064","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator's Research","Course Total","","29","3.968","34.5","3.4",".",".",".",".",".","37.9",".",".",".","24.1",".",".",".","."
"908
Seminar-Water Chemistry","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"909
Smr-Water Chemistry Rsch","001","","6","4.000","16.7",".",".",".",".",".",".","83.3",".",".",".",".",".",".",".","."
"919
Hydraulic Engr & Fluid Mech","001","","11","3.722","45.5","27.3","9.1",".",".",".",".","9.1",".",".",".",".",".",".","9.1","."
"929
Seminar-Envir Engineering","001","","25","4.000","96.0",".",".",".",".",".",".","4.0",".",".",".",".",".",".",".","."
"949
Smr-Structural Engineering","001","","14","4.000","7.1",".",".",".",".",".",".","92.9",".",".",".",".",".",".",".","."
"950
Envr Monitoring Seminar","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"951
Smr-Survey & Photogrammetry","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","053","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","Course Total","","30","4.000","30.0",".",".",".",".",".",".","43.3",".",".",".","26.7",".",".",".","."
"999","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 110 of 375",""
