"HEC","","","","","","","","","","","","","","","","","","","",""
"FAM & CONSUMER COMMUNICA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"464
FAM COM","","","","","","","","","","","","","","","","","","","",""
"100","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"100","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"100","006","","6","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Com: Inquiry&Expositn","Course Total","","12","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"130
Family & Consumer Newswrtg","001","","17","3.059","11.8","17.6","52.9","5.9","11.8",".",".",".",".",".",".",".",".",".",".","."
"360
Information Radio","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"430
Consumer Investgtv Reportng","001","","6","2.833",".",".","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"501
Special Topics","001","","18","3.500","38.9","27.8","27.8","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"505
Publications Editing","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"515
Pub Info Campaigns & Progms","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"530
Print&Electronic Media Dsgn","001","","12","3.167","25.0",".","58.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"601
Internship","015","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"617","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"617","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Hlth Communication-Info Age","Course Total","","5","***","","","","","","","","","","","","","","","",""
"699","015","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","203","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","7","3.571","57.1",".","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"FAM COM
464","Dept. Total","","102","3.420","35.3","16.7","32.4","5.9","2.0",".",".",".",".","7.8",".",".",".",".",".","."
