"RURAL SOCIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"864
RUR SOC","","","","","","","","","","","","","","","","","","","",""
"210
Survey of Sociology","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"215
Gender & Work-Rural America","001","","7","2.857","14.3","28.6","28.6",".","14.3","14.3",".",".",".",".",".",".",".",".",".","."
"248
Envir, Nat Rsrce & Communty","001","","14","2.500","14.3",".","28.6",".","50.0","7.1",".",".",".",".",".",".",".",".",".","."
"360
Stats for Sociologists I","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"361
Stats for Sociologists II","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"617
Community Development","001","","11","2.900","9.1","36.4","27.3",".","9.1",".","9.1","9.1",".",".",".",".",".",".",".","."
"630
Soc:Devlp Societies/3rd Wld","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"645
Modern American Communities","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"650
Sociology of Agriculture","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","3","***","","","","","","","","","","","","","","","",""
"748
Environmental Sociology","001","","13","3.692","38.5","61.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"749
Soc Pol&Mgmt-National Parks","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"985
Rsch:Sci,Tech,Ag,Rscs&Envir","001","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","070","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","075","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","13","4.000","46.2",".",".",".",".",".",".","15.4",".",".",".","38.5",".",".",".","."
"993
Research:Soc of Econ Chnge","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999
Reading and Research","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"RUR SOC
864","Dept. Total","","91","3.336","30.8","26.4","9.9","1.1","9.9","2.2","1.1","13.2",".",".",".","5.5",".",".",".","."
