"","JOURN AND MASS COMMUNICA Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"512
JOURN","","","","","","","","","","","","","","","","","","","",""
"Intro to Mass Communication","201","001","345","2.946","21.4","16.5","32.2","11.6","10.1","4.3","3.5",".",".",".",".",".",".","0.3",".","."
"Reporting","204","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","205","001","14","2.750",".","14.3","42.9","35.7",".","7.1",".",".",".",".",".",".",".",".",".","."
"","205","002","14","3.286","7.1","50.0","35.7","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","205","003","9","3.278","22.2","11.1","66.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","205","004","12","3.208","25.0","16.7","33.3","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","205","005","11","2.818","9.1","36.4","18.2","18.2","9.1",".","9.1",".",".",".",".",".",".",".",".","."
"Newswriting and Reporting","","Course Total","60","3.058","11.7","26.7","38.3","18.3","1.7","1.7","1.7",".",".",".",".",".",".",".",".","."
"","230","001","10","3.300","30.0","30.0","20.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","230","003","9","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Newspaper Editing","","Course Total","19","3.500","42.1","31.6","15.8","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"Principles of Advertising","246","001","191","3.126","13.6","29.8","36.6","13.1","5.2","0.5","1.0",".",".",".",".",".",".",".",".","."
"Effects-Mass Communication","265","001","378","3.027","17.2","21.7","31.7","15.3","10.8","1.9","1.1",".",".",".",".",".",".",".",".","0.3"
"Reporting of Public Affairs","301","001","12","3.417","25.0","41.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Interpatn Contemp Affairs","304","001","14","3.500","42.9","21.4","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Writing of Feature Articles","305","001","14","3.456","28.6","42.9","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Science & Technology Journ","315","001","9","3.571","11.1","66.7",".",".",".",".",".","11.1",".",".",".",".",".",".","11.1","."
"Public Relations Practices","325","001","79","3.385","19.0","43.0","31.6","5.1",".",".",".",".",".",".",".",".",".",".","1.3","."
"Intro to Broadcast News","351","001","23","3.630","30.4","65.2","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Television News","352","001","23","3.523","21.7","56.5","17.4",".",".",".",".",".",".",".",".",".",".","4.3",".","."
"Mass Media and the Consumer","446","001","141","3.007","5.7","26.2","41.8","19.1","5.7","1.4",".",".",".",".",".",".",".",".",".","."
"Advertising Copy and Layout","450","001","58","3.310","17.2","32.8","44.8","5.2",".",".",".",".",".",".",".",".",".",".",".","."
"Promotional Campaigns","454","001","20","3.650","40.0","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advertising Media Planning","459","001","44","3.602","43.2","36.4","18.2","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"Magazines&Magazine Editing","517","001","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Relations Campaigns","525","001","41","3.378","24.4","36.6","29.3","9.8",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Survey Research","544","001","19","3.605","42.1","36.8","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Law of Mass Communication","559","001","85","2.876","21.2","21.2","18.8","10.6","18.8","8.2","1.2",".",".",".",".",".",".",".",".","."
"Hist of Mass Communication","560","001","70","3.221","17.1","37.1","31.4","7.1","5.7",".","1.4",".",".",".",".",".",".",".",".","."
"Mass Communication&Society","561","001","20","3.475","40.0","25.0","25.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Mass Media and Minorities","562","001","33","3.094","24.2","15.2","36.4","9.1","9.1",".","3.0","3.0",".",".",".",".",".",".",".","."
"Literary Aspects of Journ","569","001","26","3.269","26.9","23.1","34.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"Communicatn&Public Opinion","614","001","54","3.120","1.9","46.3","25.9","25.9",".",".",".",".",".",".",".",".",".",".",".","."
"","617","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","617","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Hlth Communication-Info Age","","Course Total","4","***","","","","","","","","","","","","","","","",""
"International Communication","620","001","16","3.333","25.0","31.3","25.0","6.3","6.3",".",".","6.3",".",".",".",".",".",".",".","."
"Communication Rsch Methods","658","001","48","3.198","29.2","29.2","18.8","14.6","2.1","4.2","2.1",".",".",".",".",".",".",".",".","."
"","681","025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","033","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","042","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","096","1","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 233 of 375",""
