"MED","","","","","","","","","","","","","","","","","","","",""
"MEDICAL HISTORY AND BIOETH Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"452
MED HIST","","","","","","","","","","","","","","","","","","","",""
"History-20th C Am Medicine","218
001","","14","3.179","21.4","42.9","14.3","7.1","7.1","7.1",".",".",".",".",".",".",".",".",".","."
"Society&Health Care-Am Hist","504
001","","8","3.250","25.0","25.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"Health, Disease & Healing I","507
001","","12","3.447","33.3","33.3","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Women & Health-Amer History","531
001","","6","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Greek & Roman Med & Phcy","561
001","","6","3.083","16.7","16.7","50.0",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Med&Nat Hist-Sci Revolution","568
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Study in Med History","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Grad Studies in Med Ethics","734
002","","9","3.688","44.4","33.3","11.1",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Grad Studies-Medical Hist","901
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Bioethics and the Law","905
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"MED HIST
452","Dept. Total","","66","3.381","30.3","30.3","21.2","6.1","3.0","1.5",".","6.1",".",".",".","1.5",".",".",".","."
