"POLITICAL SCIENCE","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","","",""
"Legislative Internship","427","001","","17","3.536","35.3","47.1","11.8",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"Politcal Economy-Race in US","462","001","","40","3.205","35.0","20.0","30.0",".","5.0","2.5","5.0",".",".",".",".",".",".","2.5",".","."
"Elections & Voting Behavior","467","001","","33","3.225","12.1","33.3","42.4","12.1",".",".",".",".",".",".",".",".",".",".",".","."
"Political Communications","479","001","","31","2.873","22.6","12.9","22.6","19.4","9.7","3.2","3.2","3.2",".",".",".",".",".","3.2",".","."
"Ancient&Medvl West Thought","501","001","","49","3.572","40.8","32.7","24.5",".",".",".",".",".",".",".",".",".",".","2.0",".","."
"Contemp Political Thought","503","001","","51","3.409","25.5","31.4","39.2","2.0",".",".",".",".",".",".",".",".",".","2.0",".","."
"Conservatv Politicl Thought","518","001","","45","3.194","22.2","35.6","28.9","4.4","4.4",".","4.4",".",".",".",".",".",".",".",".","."
"Intro to Survey Research","544","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Quantitative Anal-Pol Data","551","001","","21","2.678","19.0","28.6","14.3","19.0","4.8",".","14.3",".",".",".",".",".",".",".",".","."
"W Eur Pol Sys-Germany","620","001","","31","2.984","12.9","16.1","41.9","12.9","16.1",".",".",".",".",".",".",".",".",".",".","."
"European Politics","622","001","","48","3.677","54.2","31.3","10.4","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Natnlty/Ethnonatlsm-Sov Pol","634","001","","29","3.182","17.2","27.6","31.0","17.2","3.4",".",".",".",".",".",".",".",".","3.4",".","."
"Politics of Southeast Asia","639","001","","26","3.323","26.9","34.6","23.1","3.8","11.5",".",".",".",".",".",".",".",".",".",".","."
"Politics of Japan","640","001","","26","3.015","11.5","23.1","46.2","11.5","3.8",".","3.8",".",".",".",".",".",".",".",".","."
"Politics-Developing Areas","653","001","","24","3.656","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"African Politics","660","001","","16","3.433","37.5","31.3","18.8","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","681","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","092","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Seniors Honors Thesis","","Course Total","","6","3.773","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","682","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis Smr","683","001","","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","691","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","077","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Senior Thesis","692","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","695","001","","7","3.571","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","695","012","","13","3.500","38.5","30.8","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","695","038","","9","3.667","55.6","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","695","112","","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prosem: Topics in Poli Sci","","Course Total","","36","3.625","50.0","27.8","19.4","2.8",".",".",".",".",".",".",".",".",".",".",".","."
"","698","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","4","***","","","","","","","","","","","","","","","",""
"","699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","009","","12","3.952","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","","Page 269 of 375",""
