"","990
037","19","4.000","10.5",".",".",".",".",".",".","","26.3",".","",".",".","","63.2",".","",".",".","."
"","990
039","5","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
040","2","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"Research","Course Total","52","3.692","17.3",".","1.9",".",".",".","",".","53.8","",".",".","",".","26.9","",".",".",".","."
"ONCOLOGY
700","Dept. Total","119","3.500","31.9","10.1","16.8","2.5","0.8","0.8","",".","25.2","",".",".","",".","11.8","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"700
ONCOLOGY","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","3","3.667","66.7",".","33.3",".",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","9","3.188","33.3","22.2","11.1","11.1",".","11.1","",".","11.1","",".",".","",".",".","",".",".",".","."
"Senior","","24","3.538","50.0","20.8","16.7","8.3","4.2",".","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","36","3.473","47.2","19.4","16.7","8.3","2.8","2.8","",".","2.8","",".",".","",".",".","",".",".",".","."
"Special","","2","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","","94","3.500","20.2","5.3","14.9",".",".",".","",".","44.7","",".",".","",".","14.9","",".",".",".","."
"Prof Yr 2","","1","",".",".",".",".",".",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"Professionals","","1","",".",".",".",".",".",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"","Dept. Total","133","3.500","28.6","9.0","15.0","2.3","0.8","0.8","",".","33.1","",".",".","",".","10.5","",".",".",".","."
