"EDUCATIONAL POLICY STUDIES Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"310
ED POL","","","","","","","","","","","","","","","","","","","",""
"150
Education and Public Policy","001","","24","3.604","33.3","54.2","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"200
Race,Ethnicty&Inequal-Am Ed","001","","67","3.354","14.9","52.2","22.4","4.5","1.5","1.5",".","1.5",".",".",".",".",".","1.5",".","."
"300","001","","33","3.697","51.5","36.4","12.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"300","002","","22","3.409","36.4","27.3","27.3",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"300","003","","33","3.606","51.5","27.3","15.2","3.0","3.0",".",".",".",".",".",".",".",".",".",".","."
"300","004","","28","3.679","64.3","21.4","10.7",".",".","3.6",".",".",".",".",".",".",".",".",".","."
"School and Society","Course Total","","116","3.612","51.7","28.4","15.5","0.9","2.6","0.9",".",".",".",".",".",".",".",".",".","."
"412
History-American Education","001","","56","3.509","35.7","35.7","25.0","1.8","1.8",".",".",".",".",".",".",".",".",".",".","."
"505
Issues in Urban Education","001","","28","3.554","35.7","53.6","3.6",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"539
Public Sector Bargaining","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"540
Modern Philosophies of Ed","001","","14","3.308","35.7","14.3","35.7",".",".","7.1",".",".",".",".",".",".","7.1",".",".","."
"545
Philos Concepts-Tch&Learng","001","","15","3.571","60.0","26.7",".",".",".",".","6.7",".",".",".",".",".","6.7",".",".","."
"560
Gender and Education","001","","30","3.367","26.7","40.0","30.0",".",".",".","3.3",".",".",".",".",".",".",".",".","."
"570
Anthropology and Education","001","","15","3.333","40.0","33.3","13.3","6.7",".",".","6.7",".",".",".",".",".",".",".",".","."
"600
Problems in Educ Pol","001","","13","3.769","53.8","46.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","2","***","","","","","","","","","","","","","","","",""
"700
Colloquium-Ed Pol Studies","001","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"701
Intro to Ed Policy Studies","001","","17","",".",".",".",".",".",".",".",".",".","94.1","5.9",".",".",".",".","."
"740
Classics in Education","001","","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"755
Methods-Qualitative Resch","001","","6","3.417","33.3","16.7","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"855
Issues-Elementary Education","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"906
Prosem-History of Education","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"962
Cross Natl Studies-Ed Probs","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"970
Smr-Anthropology&Education","001","","9","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","066","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","073","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","27","3.900","14.8","3.7",".",".",".",".",".","40.7","3.7",".",".","33.3","3.7",".",".","."
"999","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","","Page 90 of 375"
