"ENTOMOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"355
ENTOM","","","","","","","","","","","","","","","","","","","",""
"201
Insects and Human Culture","001","","63","3.079","25.4","17.5","27.0","14.3","12.7","3.2",".",".",".",".",".",".",".",".",".","."
"299
Independent Study","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"302
Introduction to Entomology","001","","32","3.242","43.8","15.6","18.8","6.3",".","12.5",".",".",".",".",".",".",".","3.1",".","."
"321
Physiology of Insects","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"342
Insect Ecology","001","","20","3.350","35.0","25.0","25.0","5.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"570
Prin-Insect Pest Suppressn","001","","12","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"606
Colloquium in Env Tox","001","","8","3.000",".","25.0","37.5","25.0",".",".",".",".",".",".",".",".","12.5",".",".","."
"681
Senior Honors Thesis","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","8","3.389","75.0",".",".","12.5",".",".","12.5",".",".",".",".",".",".",".",".","."
"701
Advanced Taxonomy","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract-Entomology Teaching","Course Total","","2","***","","","","","","","","","","","","","","","",""
"903
Smr: Evolutionary Entomol","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"950
Interdis Smr-Animal Behav","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","7","4.000","28.6",".",".",".",".",".",".","57.1",".",".",".","14.3",".",".",".","."
"990","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Grad Research & Thesis","Course Total","","33","4.000","42.4",".",".",".",".",".",".","27.3",".",".",".","30.3",".",".",".","."
