"Senior Honors Thesis","681
008","1","***","","","","","","","","","",".",".","",".",".","",".",".","."
"Directed Study","699
007","1","***","","","","","","","","","",".",".","",".",".","",".",".","."
"Research and Thesis","990
011","7","",".",".",".",".",".",".",".","71.4","14.3",".",".","","14.3",".","",".",".","."
"HEBR ST
440","Dept. Total","312","3.271","34.6","22.8","19.6","10.3","4.5","2.2","1.9","3.2","0.3",".","",".","0.3","",".","0.3",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"440
HEBR ST","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","64","3.058","34.4","17.2","18.8","15.6","6.3","3.1","4.7",".",".",".","",".",".","",".",".",".","."
"Sophomore","","100","3.440","41.0","25.0","22.0","7.0","2.0","1.0","1.0",".",".",".","",".",".","",".","1.0",".","."
"Junior","","68","3.215","33.8","20.6","22.1","13.2","5.9","1.5","2.9",".",".",".","",".",".","",".",".",".","."
"Senior","","40","3.256","32.5","25.0","17.5","10.0","5.0","5.0",".","5.0",".",".","",".",".","",".",".",".","."
"Undergraduates","","272","3.264","36.4","22.1","20.6","11.0","4.4","2.2","2.2","0.7",".",".","",".",".","",".","0.4",".","."
"Special","","5","3.500","20.0","60.0","20.0",".",".",".",".",".",".",".","",".",".","",".",".",".","."
"Graduate","","35","3.300","22.9","22.9","11.4","5.7","5.7","2.9",".","22.9","2.9",".","",".","2.9","",".",".",".","."
"","Dept. Total","312","3.271","34.6","22.8","19.6","10.3","4.5","2.2","1.9","3.2","0.3",".","",".","0.3","",".","0.3",".","."
