"INDUSTRIAL & SYSTEMS ENGR","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"490
I SY E","","","","","","","","","","","","","","","","","","","",""
"790","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","031","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research & Thesis","Course Total","","12","3.940","58.3","8.3",".",".",".",".",".","16.7",".",".",".","16.7",".",".",".","."
"823
Topics-Operations Research","001","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"859
Topics-Human Factors Engr","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"890","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","015","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","017","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"890","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","026","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","031","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator's Research","Course Total","","26","3.967","69.2","3.8",".",".",".",".",".","23.1",".",".",".","3.8",".",".",".","."
"990","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","026","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","21","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"999","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","034","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"999","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
