"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","",""
"","213
001","26","2.692","26.9","19.2","11.5","11.5","7.7","15.4","7.7",".",".",".",".",".",".",".",".","."
"","213
002","14","3.143","28.6","14.3","35.7",".","21.4",".",".",".",".",".",".",".",".",".",".","."
"","213
003","33","2.909","39.4","3.0","12.1","9.1","27.3","9.1",".",".",".",".",".",".",".",".",".","."
"","213
004","25","3.000","24.0","16.0","28.0",".","32.0",".",".",".",".",".",".",".",".",".",".","."
"","213
005","15","3.067","20.0","26.7","26.7","13.3","6.7","6.7",".",".",".",".",".",".",".",".",".","."
"Calc/Intro-Differntl Equats","Course Total","113","2.929","29.2","14.2","20.4","7.1","20.4","7.1","1.8",".",".",".",".",".",".",".",".","."
"","221
001","227","2.562","17.6","8.8","23.3","5.7","30.8","6.6","6.2","0.4",".",".",".",".",".",".","0.4","."
"","002
221","35","2.786","20.0","14.3","25.7","11.4","14.3","14.3",".",".",".",".",".",".",".",".",".","."
"","221
003","169","2.723","16.6","11.2","29.6","13.6","20.1","3.6","5.3",".",".",".",".",".",".",".",".","."
"","004
221","142","2.773","28.9","4.2","26.1","5.6","21.8","9.2","3.5","0.7",".",".",".",".",".",".",".","."
"","221
005","38","2.158","15.8","10.5","15.8","10.5","15.8","10.5","21.1",".",".",".",".",".",".",".",".","."
"","006
221","136","2.526","13.2","8.1","31.6","4.4","25.0","11.8","4.4",".",".",".",".",".",".","1.5",".","."
"","221
007","40","2.525","20.0","5.0","17.5","20.0","17.5","17.5","2.5",".",".",".",".",".",".",".",".","."
"","221
008","176","2.701","16.5","12.5","28.4","11.9","19.9","4.0","6.3",".",".",".",".",".",".",".",".","0.6"
"","221
009","34","2.250","8.8","5.9","17.6","14.7","32.4","14.7","5.9",".",".",".",".",".",".",".",".","."
"","010
221","33","2.333","15.2","6.1","12.1","12.1","30.3","24.2",".",".",".",".",".",".",".",".",".","."
"","011
221","31","2.450","22.6","3.2","9.7","6.5","38.7","12.9","3.2","3.2",".",".",".",".",".",".",".","."
"","012
221","153","2.596","15.7","12.4","22.2","15.0","20.9","7.2","6.5",".",".",".",".",".",".",".",".","."
"","221
013","30","2.652","26.7","16.7","10.0","6.7","13.3","26.7",".",".",".",".",".",".",".",".",".","."
"","014
221","39","2.789","28.2","7.7","33.3","2.6","12.8",".","12.8","2.6",".",".",".",".",".",".",".","."
"Calculus&Analytic Geometry","Course Total","1283","2.611","18.3","9.4","24.8","9.7","23.1","8.5","5.6","0.3",".",".",".",".",".","0.2","0.1","0.1"
"","222
001","187","2.777","20.9","9.1","38.0","3.2","13.9","11.2","3.2","0.5",".",".",".",".",".",".",".","."
"","002
222","235","2.498","17.9","7.7","20.0","10.2","26.4","13.2","4.7",".",".",".",".",".",".",".",".","."
"","003
222","218","2.604","14.2","9.2","26.6","11.0","28.9","5.0","4.6","0.5",".",".",".",".",".",".",".","."
"","222
004","187","2.618","17.1","14.4","23.0","8.6","22.5","7.5","7.0",".",".",".",".",".",".",".",".","."
"Calculus&Analytic Geometry","Course Total","827","2.616","17.4","9.9","26.5","8.5","23.3","9.3","4.8","0.2",".",".",".",".",".",".",".","."
"","001
234","67","2.765","20.9","7.5","17.9","26.9","17.9","6.0","1.5",".",".",".",".","1.5",".",".",".","."
"","002
234","143","2.497","13.3","7.0","25.2","9.8","30.8","10.5","3.5",".",".",".",".",".",".",".",".","."
"","234
003","160","2.875","19.4","11.3","31.9","13.8","18.1","4.4","1.3",".",".",".",".",".",".",".",".","."
"","234
004","219","2.379","15.5","7.8","15.5","14.2","26.0","14.6","6.4",".",".",".",".",".",".",".",".","."
"Calc--Functns of Variables","Course Total","589","2.586","16.6","8.5","22.6","14.4","24.1","9.8","3.7",".",".",".",".","0.2",".",".",".","."
"Topics in Calculus I","275
001","37","3.514","35.1","37.8","24.3",".","2.7",".",".",".",".",".",".",".",".",".",".","."
"Topics in Calculus II","276
001","27","3.500","40.7","22.2","33.3","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"Multi-Var Calc & Linear Alg","277
001","24","3.646","54.2","29.2","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","298
015","112","",".",".",".",".",".",".",".",".",".","97.3","2.7",".",".",".",".","."
"","298
107","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study in Math","Course Total","113","",".",".",".",".",".",".",".",".",".","97.3","2.7",".",".",".",".","."
"Theory-Interst & Life Insur","303
001","8","3.188","37.5","12.5","12.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".","."
"Intro to Math Statistics","309
001","9","2.722","33.3","11.1","22.2",".","11.1","11.1","11.1",".",".",".",".",".",".",".",".","."
"Actuarial Mathematics","313
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","319
001","29","2.655","31.0","13.8","13.8","6.9","13.8","6.9","13.8",".",".",".",".",".",".",".",".","."
"","319
002","34","2.273","23.5","2.9","17.6","2.9","17.6","20.6","11.8",".",".",".",".",".",".","2.9",".","."
"","003
319","30","2.483","20.0","6.7","26.7","3.3","26.7","3.3","13.3",".",".",".",".",".",".",".",".","."
"","319
004","29","2.768","13.8","17.2","17.2","6.9","41.4",".",".",".","3.4",".",".",".",".",".",".","."
